FENESIS_ID	FENESIS_Name_English	FENESIS_Name_latin	FENESIS_description	FMA_Info
210.4a	Trachealbranches	[Ramitracheales]	 Branches to the trachea //	FMA71517:Set of tracheal branches of internal thoracic artery
210.5	Pericardiophrenic artery	Arteria pericardiacophrenica	 Accompanies the phrenic nerve and supplies the pericardium and the diaphragm.  //	FMA3964:Pericardiacophrenic artery
210.6	Sternal branches	Rami sternales	 Branches that supply the sternum.  //	FMA71518:Set of sternal branches of internal thoracic artery
210.7	Perforating branches	Rami perforantes	 Vessels that extend through intercostal spaces 1?6 to the surface of the thorax.  //	FMA71519:Set of perforating branches of internal thoracic artery
210.8	Medial mammary branches	Rami mammarii mediales	 Larger perforating branches that supply the mammary gland.  //	FMA71520:Set of medial mammary branches of perforating branches of internal thoracic artery
210.9	Lateral costal branch	[Ramus costalis lateralis]	 Normal variant. Arises from the internal thoracic artery and runs lateral and parallel to it.  //	FMA71521:Set of anterior intercostal branches of internal thoracic artery
210.10	Anterior intercostal branches	Rami intercostales anteriores	 Anterior tributaries in the intercostal spaces.  //	FMA71521:Set of anterior intercostal branches of internal thoracic artery
210.11	Musculophrenic artery	Arteria musculophrenica	 Passing behind the costal arch, it gives off additional anterior intercostal branches from the 7th intercostal space onward.  //	FMA10645:Musculophrenic artery
210.12	Superior epigastric artery	Arteria epigastrica superior	 Continuation of the internal thoracic artery after entering the abdominal cavity between the sternal and costal parts of the diaphragm Larrey’s space = sternocostal triangle.  //	FMA10646:Superior epigastric artery
210.13	Thyrocervical trunk	Truncus thyrocervicalis	 Variably common stem of the inferior thyroid, transverse cervical and suprascapular arteries.  //	FMA3990:Thyrocervical trunk
210.14	Inferior thyroid artery	Arteria thyroidea inferior	 It passes along the anterior margin of the scalenus anterior as far as the level of C6 and then behind the common carotid artery to the thyroid gland. A  //	FMA10662:Inferior thyroid artery
210.15	Inferior laryngeal artery	Arteria laryngealis inferior	 It passes upward behind the trachea, penetrates the inferior pharyngeal constrictor and supplies part of the larynx. A  //	FMA52492:Inferior laryngeal artery
210.16	Glandular branches	Rami glandulares	 They supply the inferior and posterior surfaces of the thyroid gland and the parathyroids via inferior and ascending branches.  //	FMA71522:Set of glandular branches of inferior thyroid artery
210.18	Esophageal branches	Rami oesophageales	  //	FMA71524:Set of oesophageal branches of inferior thyroid artery
210.19	Tracheal branches	Rami tracheales	  //	FMA71525:Set of tracheal branches of inferior thyroid artery
210.20	Ascending cervical artery	Arteria cervicalis ascendens	 It lies medial to the phrenic nerve and the scalenus anterior and can reach as far as the base of the skull. A  //	FMA52489:Ascending cervical artery
210.21	Spinal branches	Rami spinales	 They pass through the intervertebral foramina to the spinal cord. A [A-E]  //	FMA71526:Set of spinal branches of ascending cervical artery
210.22	Transverse cervical (colli) artery	Arteria transversa cervicis (colli)	 The vessel may vary greatly. The second most frequent variant (25%) is represented here. Originating usually (75%) from the subclavian artery, it frequently passes through the brachial plexus, supplies the upper part of the trapezius with its branches and ramifies alongside the dorsal scapular nerve. A  //	FMA10664:Transverse cervical artery
212.1	Supra scapular artery 		  //	FMA10663:Suprascapular artery
212.2	Acromial branch	Ramus acromialis	 It penetrates the attachment of the trapezius and passes to the acromion.  //	FMA22602:Acromial branch of suprascapular artery
212.4	Deep cervical artery	Arteria cervicalis profunda	 It courses posteriorly between the transverse processes of C7 and T1, then upwards on the semispinalis.  It supplies the nuchal musculature. //	FMA10659:Deep cervical artery
212.5	Highest intercostal artery	Arteria intercostalis suprema	 Common trunk for the first two intercostal arteries.  //	FMA76998:Supreme intercostal artery
212.6	First and second posterior intercostal arteries	Arteriae intercostalis posterior prima et secunda	 They pass in the first two intercostal spaces, respectively.  //	FMA3994:Second posterior intercostal artery
212.7	Dorsal branches	Rami dorsales	 Branches for the muscles and skin of the back.  //	FMA71527:Set of dorsal branches of second posterior intercostal artery
212.8	Spinal branches	Rami spinales	 Branches to the spinal cord via intervertebral foramina T1?2.  //	FMA71540:Set of spinal branches of dorsal branch of posterior intercostal artery
212.9	Axillary Artery	Arteria axillaris	 Continuation of the subclavian artery as far as the lower margin of the pectoralis major. A  //	FMA22654:Axillary artery
212.10	Subscapular branches	Rami subscapulares	 Individual branches to the subscapularis muscle.  //	FMA71529:Set of subscapular branches of axillary artery
212.11	Superior thoracic artery	Arteria thoracica superior	 Variable branch to the subclavius, intercostals 1?2 and serratus anterior muscles.  //	FMA22668:Superior thoracic artery
212.12	Thoracoacromial artery	Arteria thoracoacromialis	 It arises at the upper margin of the pectoralis minor and ramifies in all directions.  //	FMA22671:Thoraco-acromial artery
212.13	Acromial branch	Ramus acromialis	 Branch passing superolaterally through the deltoid muscle to the acromion.  //	FMA23065:Acromial branch of thoraco-acromial artery
212.14	Acromial network	Rete acromiale	 Arterial network on the acromion.  //	FMA23065:Acromial branch of thoraco-acromial artery
212.15	Clavicular branch	Ramus clavicularis	 Small branch to the clavicle and the subclavius muscle.  //	FMA23066:Clavicular branch of thoraco-acromial artery
212.16	Deltoid branch	Ramus deltoideus	 Branch passing posterolaterally for the deltoid and pectoralis major muscles.  //	FMA23067:Deltoid branch of thoraco-acromial artery
212.17	Pectoral branches	Rami pectorales	 Branches passing inferiorly for the serratus anterior and pectoral muscles.  //	FMA71530:Set of pectoral branches of thoraco-acromial artery
212.18	Lateral thoracic artery	Arteria thoracica lateralis	 It passes downward at the lateral margin of the pectoralis minor to supply the pectoral and serratus anterior muscles.  //	FMA22674:Lateral thoracic artery
212.19	Lateral mammary branches	Rami mammarii laterales	  //	FMA71531:Set of lateral mammary branches of lateral thoracic artery
212.20	Subscapular artery	Arteria subscapularis	 Arises at the lateral margin of the subscapularis muscle and supplies it, the latissimus dorsi and teres major muscles.  //	FMA22677:Subscapular artery
212.21	Thoracodorsal artery	Arteria thoracodorsalis	 Branch to the latissimus dorsi and teres major.  //	FMA66320:Thoracodorsal artery
212.22	Circumflex scapular artery	Arteria circumflexa scapulae	 It passes through the triangular space to the infraspinous fossa and anastomoses with the suprascapular artery.  //	FMA23179:Circumflex scapular artery
212.23	Anterior circumflex humeral artery	Arteria circumflexa anterior humeri	 It arises below the latissimus dorsi at the same level or deeper than the posterior circumflex humeral artery and passes in front of the surgical neck of the humerus to the coracobrachialis and biceps.  It anastomoses with the posterior circumflex humeral artery. //	FMA22680:Anterior circumflex humeral artery
212.24	Posterior circumflex humeral artery	Arteria circumflexa posterior humeri	 It passes with the axillary nerve through the quadrangular space to the shoulder joint and the deltoid muscle.  It anastomoses with the anterior circumflex humeral, suprascapularis and thoracoacromial arteries. //	FMA22684:Posterior circumflex humeral artery
212.25	Brachial artery	Arteria brachialis	 It forms a continuation of the axillary artery from the lower margin of the pectoralis major in the medial bicipital groove up to its division into the radial and ulnar arteries.  //	FMA22689:Brachial artery
212.26	Superficial brachial artery	[Arteria brachialis superficialis]	 Anatomic variant in which the brachial artery lies on the median nerve instead of below it.  //	FMA77135:Superficial brachial artery
212.27	Profunda brachii artery	Arteria profunda brachii	 Companion artery of the radial nerve in the groove for the radial nerve.  //	FMA22695:Deep brachial artery
212.28	Nutrient arteries of humerus	Arteriae nutriciae (nutrientes) humeri	 Branches to the bone marrow of the humerus.  //	FMA50779:Nutrient artery
212.29	Deltoid branch	Ramus deltoideus	 Branch coursing laterally behind the humerus, then superiorly and externally to the deltoid muscle.  //	FMA71533:Deltoid branch of deep brachial artery
212.31	Radial collateral artery	Arteria collateralis radialis	 It passes with the radial nerve to the articular network of the elbow and gives off an anterior branch to the radial recurrent artery. [A-E]  //	FMA23120:Radial collateral artery
212.32	Superior ulnar collateral artery	Arteria collateralis ulnaris superior	 Often arising near the profunda brachii artery, it passes with the ulnar nerve to the articular network of the elbow.  //	FMA22706:Superior ulnar collateral artery
212.33	Inferior ulnar collateral artery	Arteria collateralis ulnaris inferior	 Originating above the medial epicondyle of the humerus, it passes on the brachialis muscle and through the intermuscular septum to the articular network of the elbow.  //	FMA22710:Inferior ulnar collateral artery
214.1	Radial artery	A radialis	 It begins at the division of the brachial artery and courses on the pronator teres, then lateral to the flexor carpi radialis (where its pulsations are readily palpable) up to the hand.  //	FMA22730:Radial artery
214.2	Radial recurrent artery	Arteria recurrens radialis	 Retrograde artery ascending medial to the radial nerve to anastomose with the radial collateral artery.  //	FMA22748:Radial recurrent artery
214.3	Palmar carpal branch	Ramus carpalis palmaris	 Small branch at the distal margin of the pronator quadratus.  It joins the carpal network. //	FMA22817:Palmar carpal branch of ulnar artery
214.4	Superficial palmar branch	Ramus palmaris superficialis	 Small arterial branch coursing through the thenar eminence to the superficial palmar arch.  //	FMA22752:Superficial palmar branch of radial artery
214.5	Dorsal carpal branch	Ramus carpalis dorsalis	 Branch passing transversely across the dorsum of the wrist below the long extensor tendons. [A-E]  //	FMA22755:Dorsal carpal branch of radial artery
214.6	Dorsal carpal network	Rete carpale dorsale	 Arterial network on the dorsum of the wrist.  //	FMA22755:Dorsal carpal branch of radial artery
214.7	Dorsal metacarpal arteries	Arteriae metacarpales dorsales	 Four arteries arising from the dorsal carpal branch or the dorsal carpal network and passing dorsally in the direction of the interdigital spaces. [A-E]  //	FMA70800:Set of dorsal metacarpal arteries
214.8	Dorsal digital arteries	Arteriae digitales dorsales	 Two short arteries arising from each of the dorsal metacarpal arteries and supplying the dorsum of the individual fingers.  //	FMA70801:Set of dorsal digital arteries
214.9	Princeps pollicis artery	Arteria princeps pollicis	 It originates from the radial artery after its entrance into the 1st dorsal interosseus muscle and divides at the flexor side of the thumb.  //	FMA71534:Set of princeps pollicis artery
214.10	Radialis indicis artery	Arteria radialis indicis	 Frequent branch of the princeps pollicis artery the radial side of the index finger.  //	FMA22763:Arteria radialis indicis
214.11	Deep palmar arch	Arcus palmaris profundus	 Continuation of the radial artery beneath the long flexor tendons. In anastomoses with the ulnar artery.  //	FMA22838:Deep palmar arterial arch
214.12	Palmar metacarpal arteries	Arteriaemetacarpales palmares	 Small branches of the deep palmar arch passing toward the interdigital spaces.  //	FMA70802:Set of palmar metacarpal arteries
214.13	Perforating branches	Ramiperforantes	 Anastomose with the dorsal metacarpal arteries at the dorsum of the hand. A  //	FMA71535:Set of perforating branches of deep palmar arch
214.14	Ulnar artery	Arteria ulnaris	 Second terminal branch of brachial artery.  It runs beneath the pronator teres, then accompanies the flexor carpi ulnaris to terminate as the superficial palmar arch. [A-E] //	FMA22796:Ulnar artery
214.15	Ulnar recurrent artery	Arteria recurrens ulnaris	 Retrograde branch of the ulnar (or brachial) artery with the two branches listed below. [A-E]  //	FMA77140:Ulnar recurrent artery
214.16	Anterior branch	Ramus anterior	 It ascends medial to the brachialis muscle to anastomose with the inferior ulnar collateral artery.  //	FMA77147:Anterior branch of inferior suprarenal artery
214.17	Posterior branch	Ramus posterior	 Together with the ulnar nerve it ascends behind the medial epicondyle to anastomose with the articular network of the elbow and the superior ulnar collateral artery.  //	FMA22803:Posterior ulnar recurrent artery
214.18	Articular network of elbow	Rete articulare cubiti	 Arterial plexus around the elbow joint, especially behind it.  //	FMA77442:Cubital anastomosis
214.19	Common interosseous artery	Arteria interossea communis	 Short segment that extends from its origin from the ulnar artery to its division into the anterior and posterior interosseous arteries.  //	FMA22806:Common interosseous artery
214.20	Posterior interosseous artery	Arteria interossea posterior	 It passes between the interosseous membrane and the oblique cord to the dorsal surface and supplies the extensor muscles of the forearm. A  //	FMA22811:Posterior interosseous artery
214.21	Recurrent interosseous artery	Arteria interossea recurrens	 It passes deep to the anconeus muscle to anastomose with the middle collateral artery.  //	FMA77144:Recurrent interosseous artery
214.22	Anterior interosseous artery	Arteria interossea anterior	 It runs on the interosseous membrane and then beneath the pronator quadratus to anastomose with the dorsal carpal network. [A-E]  //	FMA22810:Anterior interosseous artery
214.23	Accompanying artery of median nerve	Arteria combitans nervi mediani	 Long, slender vessel (median artery) which accompanies the median nerve.  //	NO MATCH
214.24	Palmar carpal branch	Ramus carpalis palmaris	 Branch distal to the pronator quadratus that supplies the wrist. [A-E]  //	FMA22817:Palmar carpal branch of ulnar artery
214.25	Dorsal carpal branch	Ramus carpalis dorsalis	 Branch passing laterally around the wrist to the dorsal carpal network. A [A-E]  //	FMA22755:Dorsal carpal branch of radial artery
214.26	Deep palmar branch	Ramus palmaris profundus	 Weaker ulnar contributor to the deep palmar arch arising at the level of the pisiform bone.  //	FMA22824:Deep palmar branch of ulnar artery
214.27	Superficial palmar arch	Arcus palmaris superficialis	 It lies between the palmar aponeurosis and the long flexor tendons with the main influx from the ulnar artery.  It anastomoses with the radial artery. [A-E] //	FMA22834:Superficial palmar arterial arch
214.28	Common palmar digital arteries	Arteriaedigitales palmares communes	 Three to four arteries running along the sides of the fingers, which they principally supply.  //	FMA70803:Set of common palmar digital arteries
214.29	Proper palmar digital arteries	Arteriae digitales palmares propriae	 Thick arteries on the ulnar and radial sides of each finger, palmar aspect.  //	FMA70804:Set of proper palmar digital arteries
216.1	DESCENDING AORTA	Pars descendens aortae	 Descending portion of the aorta beginning at the isthmus of the arch of the aorta and terminating at its bifurcation at the level of the body of L4.  //	FMA3784:Descending aorta
216.2	THORACIC AORTA	Pars thoracica aortae	 Part of the descending aorta extending down to its entrance into the diaphragm. A [A-E]  //	FMA3786:Thoracic aorta
216.4	Esophageal branches	Rami oesophageales	 Small branches to the esophagus.  //	FMA71537:Set of oesophageal branches of thoracic aorta
216.5	Pericardial branches	Rami pericardiaci	 Small branches to the posterior wall of the pericardium. [A-E]  //	FMA71538:Set of pericardial branches of thoracic aorta
216.6	Mediastinal branches	Rami mediastinales	 Numerous fine branches to the lymph nodes and the connective tissue of the posterior mediastinum.  //	FMA71539:Set of mediastinal branches of thoracic aorta
216.7	Superior phrenic arteries	Arteriae phrenicae superiores	 Small branches from the lower thoracic aorta to the adjacent parts of the diaphragm.  //	FMA70805:Set of superior phrenic arteries
216.8	Posterior intercostal arteries	Arteriae intercostales posteriores	 Posterior supply of intercostal spaces 3?9. A [A-E]  //	FMA63822:Posterior intercostal arteries
216.9	Dorsal branch	Ramus dorsalis	 Posterior branch for the supply of the muscles and skin of the back.  //	FMA4179:Dorsal branch of posterior intercostal artery
216.11	Medial cutaneous branch	Ramus cutaneus medialis	 Branch that runs alongside the spinous process to the skin.  //	FMA4186:Medial branch of dorsal branch of posterior intercostal artery
216.12	Lateral cutaneous branch	Ramus cutaneus lateralis	 Branch of the dorsal ramus running beneath the skin further laterally.  //	FMA4196:Lateral cutaneous branch of posterior intercostal artery
216.13	Collateral branch supracostal branch	Ramus collateralis ramus supracostalis	 Branch arising in the vicinity of the costal angle and running parallel to the intercostal artery.  It proceeds anteriorly along the upper margin of the next lowest rib and anastomoses with the internal thoracic artery. A //	FMA4194:Collateral branch of posterior intercostal artery
216.14	Lateral cutaneous branch	Ramus cutaneus lateralis	 Branch running laterally beneath the skin and ramifying both anteriorly and posteriorly. [A-E]  //	FMA4191:Lateral branch of dorsal branch of posterior intercostal artery
216.15	Lateral mammary branches	Rami mammarii laterales	 Branches from the lateral cutaneous branches to the mammary gland.  //	FMA71541:Set of lateral mammary branches of lateral cutaneous branch of posterior intercostal artery
216.16	Subcostal artery	Arteria subcostalis	 Segmental arterial branch lying below the 12th rib.  It corresponds to an intercostal artery //	FMA4613:Subcostal artery
216.17	Dorsal branch	Ramus dorsalis	 It passes to the muscles and skin of the back. [A-E]  //	FMA10624:Dorsal branch of subcostal artery
216.18	Spinal branch	Ramus spinalis	 It passes through the 12th intervertebral foramen to supply the spinal cord and its membranes. [A-E]  //	FMA4617:Spinal branch of dorsal branch of subcostal artery
216.19	ABDOMINAL AORTA	Pars abdominalis aortae	 Portion of the aorta extending from its entrance into the diaphragm to its bifurcation at the level of the body of L4.  //	FMA3789:Abdominal aorta
216.20	Inferior phrenic artery	Arteria phrenica inferior	 Paired arteries that supply the diaphragm, which they enter from below.  //	FMA14734:Inferior phrenic artery
216.21	Superior suprarenal arteries	Arteriae suprarenales (adrenales) superiores	 Uppermost group of three suprarenal arteries.  //	FMA70806:Set of superior suprarenal arteries
216.22	Lumbar arteries	Arteriae lumbales	 Four segmental arteries which correspond to the intercostal arteries.  //	FMA70807:Set of lumbar arteries
216.23	Dorsal branch	Ramus dorsalis	 Branch that supplies the muscles of the back and the medial skin segments.  //	FMA14867:Dorsal branch of lumbar artery
216.24	Spinal branch	Ramus spinalis	 Branch passing through the intervertebral foramen to supply the spinal cord and its membranes.  //	FMA14868:Spinal branch of lumbar artery
216.25	Median sacral artery	Arteria sacralis mediana	 Thin median continuation of the aorta.  //	FMA14757:Median sacral artery
216.27	Coccygeal body	Glomus coccygeum	 Mass containing arteriovenous anastomoses and epithelioid cells located at the end of the median sacral artery in front of the tip of the coccyx.  //	FMA15649:Coccygeal body
216.28	Celiac trunk	Truncus coeliacus	 Common stem of the left gastric, common hepatic and splenic arteries at the level of T12.  //	FMA14812:Celiac trunk
216.29	Left gastric artery	Arteria gastrica sinistra	 Artery ascending in the left gastropancreatic fold to the cardiac portion of the stomach and continuing along the lesser curvature.  //	FMA14768:Left gastric artery
218.1	Common hepatic artery	Arteria hepatica communis	 Branch of the celiac trunk (occasionally also the superior mesenteric artery) passing to the right side toward the liver and dividing into the gastroduodenal artery and the hepatic artery proper. Besides supplying the liver, it also partially supplies the stomach, duodenum and pancreas. A [A-E]  //	FMA14771:Common hepatic artery
218.2	Hepatic artery proper	Arteria hepatica propria	 One of the two terminal branches of the common hepatic artery.  It passes into the liver. A B //	FMA14772:Hepatic artery proper
218.4	Right branch of hepatic artery proper (right hepatic artery)	Ramus dexter	 It passes to the right side of the hilum of the liver and supplies the right lobe.  It frequently also arises from the superior mesenteric artery. A //	FMA14778:Right hepatic artery
218.5	Cystic artery	Arteria cystica	 Originating from the right branch of the hepatic artery proper, it passes to the anterior and posterior surfaces of the gallbladder. A [A-E]  //	FMA14835:Cystic artery
218.6	Artery to caudate lobe	Arteria lobi caudati	  //	FMA70447:Caudate lobe branch of right hepatic artery
218.7	Anterior segmental artery	Arteria segmenti anterioris	 It supplies the anterior segment of the liver.  //	FMA70441:Anterior segmental hepatic artery
218.8	Posterior segmental artery	Arteria segmenti posterioris	 It supplies the posterior segment of the liver.  //	FMA70444:Posterior segmental hepatic artery
218.9	Left branch of hepatic artery proper (left hepatic artery	) Ramus sinister	 It supplies the left lobe of the liver. A  //	FMA14779:Left hepatic artery
218.10	Artery to caudate lobe	Arteria lobi caudati	  //	FMA70455:Caudate lobe branch of left hepatic artery
218.11	Medial segmental artery	Arteria segmenti medialis	 It supplies the medial segment of the liver. [A-E]  //	FMA68193:Medial segmental artery
218.13	Gastroduodenal artery	Arteria gastroduodenalis	 Behind the lower margin of the pylorus, it divides into an anterior supraduodenal artery and the right gastro-omental artery. A  //	FMA14775:Gastroduodenal artery
218.14	Supraduodenal artery	[Arteria supraduodenalis]	 Inconstant first branch that supplies the anterior 2/3 and the posterior 1/3 of the duodenum  //	FMA70438:Supraduodenal artery
218.15	Posterior superior pancreaticoduodenal artery	Arteria pacreaticoduodenalis superior posterior	 Arising behind the pancreas it follows the duodenum somewhat and anastomoses with the inferior pancreaticoduodenal artery.  //	FMA14784:Posterior superior pancreaticoduodenal artery
218.16	Pancreatic branches	Rami pancreatici	 Branches to the head of the pancreas  //	FMA71545:Set of pancreatic branches of posterior superior pancreaticoduodenal artery
218.17	Duodenal branches	Rami duodenales	  //	FMA71546:Set of duodenal branches of posterior superior pancreaticoduodenal artery
218.18	Retroduodenal arteries	Arteriae retroduodenales	 Branches of gastroduodenal artery that supply posterior surface of duodenum and head of pancreas.  They cross over the bile duct and contribute with a small vessel to its supply //	FMA70793:Set of retroduodenal arteries
218.19	Right gastro-omental gastroepiploic artery	Arteria gastro-omentalis dextra	 It originates at the levelof the inferior margin of the pylorus and, as the continuation of the gastroduodenal artery, passes in the greater omentum different distances from the greater curvature of the stomach.  It anastomoses with the left gastro-omental artery. A //	FMA50720:Artery
218.20	Gastric branches	Rami gastrici	 Short branches ascending to the stomach.  //	FMA71547:Set of gastric branches of right gastro-omental artery
218.21	Omental branches	Rami omentales	 Long branches that supply the greater omentum.  //	FMA71548:Set of omental branches of right gastro-omental artery
218.22	Anterior superior pancreaticoduodenal artery	Arteria pancreaticoduodenalis superior anterior	 Terminal branch that passes inferiorly on the pancreas and anastomoses to the inferior pancreaticoduodenal artery. A  //	FMA14782:Anterior superior pancreaticoduodenal artery
218.23	Panreatic branches	Rami pancreatici	  //	FMA71545:Set of pancreatic branches of posterior superior pancreaticoduodenal artery
218.24	Duodenal branches	Rami duodenales A	  //	FMA71546:Set of duodenal branches of posterior superior pancreaticoduodenal artery
218.25	Splenic (lineal) artery	Arteria splenica (lienalis)	 Third branch of the celiac trunk.  It runs along the upper margin of the pancreas then through the splenorenal ligament to the spleen. [A-E] //	FMA14773:Splenic artery
218.26	Pancreatic branches	Rami pancreatici	 Numerous small and several large branches to pancreas. A [A-E]  //	FMA71545:Set of pancreatic branches of posterior superior pancreaticoduodenal artery
218.27	Dorsal pancreatic artery	Arteria pancreatica dorsalis	 Arising just at the beginning of the splenic artery, it passes downward behind the neck of the pancreas partially embedded in pancreatic tissue. [A-E]  //	FMA14787:Dorsal pancreatic artery
218.29	Arteria pancreatica magna 		 It passes from near the middle of the splenic artery downward onto the posterior surface of the pancreas, which it supplies, and anastomoses with the inferior panceatic artery. [A-E]  //	FMA14792:Great pancreatic artery
218.31	Left gastro-omental (gastro-epiploic) artery 		 A. gastro-omentalis (epiploica) sinistra. Arises from the gastrosplenic ligament, then passes in the greater omentum to anastomose with the right gastro-omental artery. A  //	FMA14796:Left gastro-epiploic artery
218.32	Gastric branches	Rami gastrici	 Long branches to the stomach  //	FMA71547:Set of gastric branches of right gastro-omental artery
218.33	Omental branches	Rami omentales	 Long branches that supply the greater omentum.  //	FMA71548:Set of omental branches of right gastro-omental artery
218.34	Short gastric arteries	Arteriae gastrici breves	 Small vessels from the splenic artery or its branches that mainly supply the fundus of the stomach.  //	FMA70808:Set of short gastric arteries
220.1	Superior mesenteric artery	Arteria mesenterica superior	 Unpaired branch of the aorta arising about 1 cm below the celiac trunk.  It extends from behind the pancreas to the uncinate process and passes with its branches into the mesentery and mesocolon. A //	FMA14749:Superior mesenteric artery
220.2	Inferior pancreaticoduodenal artery	Arteria pancreaticoduodenalis inferior	 It arises behind the pancreas and passes between the duodenum and pancreas to anastomose with the superior pancreaticoduodenal artery.  //	FMA14805:Inferior pancreaticoduodenal artery
220.2a	Anterior branch	Ramus anterior	 It anastomoses with the anterior superior pancreaticoduodenal artery. See p. 219  //	FMA70479:Anterior inferior pancreaticoduodenal artery
220.2b	Posterior branch	Ramus posterior	 It anastomoses with the posterior superior pancreaticoduodenal artery. See p. 219  //	FMA70480:Posterior inferior pancreaticoduodenal artery
220.3	Jejunal branches	Arteriae jejunales	 Branches coursing in the mesentery to supply the jejunum. [A-E]  //	FMA14808:Jejunal artery
220.4	Ileal branches	Arteriae ileales	 Branches coursing in the mesentery to supply the ileum. [A-E]  //	FMA70810:Set of ileal arteries
220.5	Ileocolic artery	Arteria ileocolica	 It passes in the root of the mesentery downward and to the right toward the ileocecal junction.  //	FMA14815:Ileocolic artery
220.6	Colic branch	Ramus colicus	 Ascending branch to the ascending colon.  It anastomoses with the right colic artery. //	FMA14822:Superior branch of ileocolic artery
220.7	Anterior cecal artery	Arteria caecalis (cecalis) anterior	 It passes in the vascular cecal fold to the anterior surface of the cecum.  //	FMA14816:Anterior cecal artery
220.8	Arteria caecalis (cecalis) posterior 		 Itcoursesbehind the ileocecal junction to the posterior surface of the cecum.  //	FMA14817:Posterior cecal artery
220.9	Appendicular artery	Arteria appendicularis	 It extends from behind the ileum to the free margin of the meso-appendix.  It varies greatly in its origin and is often doubled. //	FMA14818:Appendicular artery
220.9a	Ilealbranch	Ramusilealis	 Descendingbranch to the ileum. It anastomoses with the lowermost ileal artery.  //	FMA14823:Inferior branch of ileocolic artery
220.13	Left colic artery	Arteria colica sinistra	 It passes retroperitoneally to the descending colon.  //	FMA14826:Left colic artery
220.14	Sigmoid arteries	Arteriae sigmoidea	 They pass obliquely downward to the sigmoid colon.  //	FMA70811:Set of sigmoid arteries
220.15	Superior rectal artery	Arteria rectalis superior	 It passes behind the rectum into the lesser pelvis and divides into right and left branches which, after penetrating the musculature, supply mainly the mucosa up to the anal valves.  //	FMA14832:Superior rectal artery
220.16	Middle suprarenal artery	Arteria suprarenalis (adrenalis) media	 It originates directly from the aorta and supplies the suprarenal gland.  //	FMA14754:Middle suprarenal artery
220.18	Inferior suprarenal artery	Arteria suprarenalis inferior	 Artery to the suprarenal gland.  //	FMA69264:Inferior suprarenal artery
220.19	Anterior branch	Ramus anterior	 It supplies the upper, anterior and lower segments of the kidney. C [A-E]  //	FMA70485:Anterior division of renal artery
220.20	Superior segmental artery	Arteria segmenti superioris	 It supplies the upper segment of the kidney as far as the posterior surface.  //	FMA70499:Superior segmental renal artery
220.21	Superior anterior segmental artery	Arteriasegmenti anterioris superioris	 It supplies the superior anterior segment of the kidney.  //	FMA13278:Anterior segmental artery
220.22	Inferior anterior segmental artery	Arteria segmenti anterioris inferioris	 It supplies the inferior anterior segment of the kidney. [A-E]  //	FMA13278:Anterior segmental artery
220.23	Inferior segmental artery	Arteria segmenti inferioris	 It supplies the lower segment of the kidney extending up to the posterior surface.  //	FMA70502:Inferior segmental renal artery
220.24	Posterior branch	Ramus posterior	 It supplies the larger posterior segment of the kidney. C  //	FMA70488:Posterior division of renal artery
220.25	Posterior segmental artery	Arteria segmenti posterioris	 It supplies the posterior segment of the kidney.  //	FMA70503:Posterior segmental renal artery
220.26	Ureteric branches	Rami ureterici	 Small branches that supply the ureter. //	FMA70491:Ureteric segment of renal artery
222.1	Testicular artery	Arteria testicularis	 It arises from the aorta at the level of L2, crosses over the ureter and, with the ductus deferens, passes through the inguinal canal into the testis.  //	FMA14758:Testicular artery
222.2	Ureteric branches	Rami ureterici	 Small branches to the ureter //	FMA75575:Set of ureteric branches of testicular artery
222.2a	Epididymal branches	Rami epididymales	 Branches to the epididymis  //	FMA75577:Set of epididymal branches of testicular artery
222.4	Ureteric branches	Rami ureterici	 Small branches to the ureter.  //	FMA75574:Set of ureteric branches of ovarian artery
222.4a	Tubal branches	Rami tubarii(tubales)	 Branches that supply the infundibulum of the uterine tube.  They anastomose with the uterine artry. See page 225 //	FMA75576:Set of tubal branches of ovarian artery
222.5	BIFURCATION OF AORTA	Bifurcatio aortae	 It occurs in front of L4, thus directly below the umbilicus.  //	FMA3795:Bifurcation of aorta
222.6	COMMON ILIAC ARTERY	Arteria iliaca communis	 It extends from the bifurcation of the descending aorta at L4 to its division into the internal and external iliac arteries in front of the sacroiliac joint.  It gives off only insignificant branches. //	FMA14764:Common iliac artery
222.7	Internal iliac artery	Arteria iliaca interna	 It begins at the division of the common iliac artery, passes into the lesser pelvis and reaches as far as the upper margin of the greater sciatic foramen.  Its branches vary greatly. //	FMA18808:Internal iliac artery
222.8	Iliolumbar artery	Arteria iliolumbalis	 It passes beneath the psoas muscle and the internal iliac artery and into the iliac fossa. [A-E]  //	FMA18845:Iliolumbar artery
222.9	Lumbar branch	Ramus lumbalis	 Branch leading into the psoas and quadratus lumborum muscles.  //	FMA18849:Lumbar part of iliolumbar artery
222.10	Spinal branch	Ramus spinalis	 Branch passing between the sacrum and L5 to enter the vertebral canal. [A-E]  //	FMA22311:Spinal division of lumbar part of iliolumbar artery
222.11	Iliac branch	Ramus iliacus	 Branch passing to the iliacus muscle in the ilac fossa; it lies parallel to the pelvis and anastomoses with the deep circumflex iliac artery.  //	FMA18850:Iliac part of iliolumbar artery
222.12	Lateral sacral arteries	Arteriae sacrales laterales	 Arteries passing downward lateral to the medial sacral artery.  They can also arise from the superior gluteal artery. //	FMA70812:Set of lateral sacral arteries
