#Model:BodyParts3D
#Version:4.0
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ1491	BP4825	FMA38504	Right extensor digiti minimi
FJ1492	BP4827	FMA38501	Right extensor digitorum
FJ1493	BP4812	FMA38525	Right extensor indicis
FJ1494	BP4818	FMA38519	Right extensor pollicis brevis
FJ1495	BP4816	FMA38522	Right extensor pollicis longus
FJ1496	BP4841	FMA38460	Right flexor carpi radialis
FJ1497	BP4848	FMA38479	Right flexor digitorum profundus
FJ1498	BP4844	FMA38482	Right flexor pollicis longus
FJ1499	BP4837	FMA38470	Right flexor digitorum superficialis
FJ1500	BP4797	FMA32547	Right infraspinatus muscle
FJ1501	BP4853	FMA37390	Right opponens pollicis
FJ1502	BP4839	FMA38463	Right palmaris longus
FJ1503	BP4846	FMA38454	Right pronator quadratus
FJ1504	BP4795	FMA13414	Right subscapularis
FJ1505	BP4814	FMA38513	Right supinator
FJ1506	BP4791	FMA32544	Right supraspinatus
FJ1507	BP4789	FMA32551	Right teres major
FJ1508	BP4793	FMA32553	Right teres minor
FJ1509	BP6629	FMA42404	Set of dorsal interossei of right hand
FJ1510	BP6633	FMA42398	Set of lumbricals of right hand
FJ1511	BP6631	FMA42402	Set of palmar interossei of right hand
FJ1512	BP5558	FMA37684	Short head of right biceps brachii
FJ1513	BP5607	FMA34684	Spinal part of right deltoid
FJ1514	BP5556	FMA65198	Superficial head of right flexor pollicis brevis
FJ1515	BP5543	FMA46123	Transverse head of right adductor pollicis
FJ1516	BP5552	FMA38562	Ulnar head of right pronator teres
FJ1517	BP4829	FMA38507	Right extensor carpi ulnaris
FJ1518	BP5554	FMA38619	Ulnar head of right flexor carpi ulnaris
FJ1520	BP5638	FMA33581	Ascending part of right trapezius
FJ1521	BP5636	FMA33586	Descending part of right trapezius
FJ1522	BP4729	FMA23089	Right lumbar rotator
FJ1524	BP4731	FMA81752	Right cervical rotator
FJ1525	BP8398	FMA23083	Thoracic rotator
FJ1526	BP4755	FMA22744	Right iliocostalis cervicis
FJ1527	BP4753	FMA22740	Right iliocostalis lumborum
FJ1528	BP4751	FMA22742	Right iliocostalis thoracis
FJ1532	BP4786	FMA32540	Right levator scapulae
FJ1533	BP4748	FMA22754	Right longissimus capitis
FJ1534	BP4746	FMA22757	Right longissimus cervicis
FJ1535	BP4744	FMA22751	Right longissimus thoracis
FJ1536	BP4780	FMA13381	Right rhomboid major
FJ1537	BP4784	FMA13383	Right rhomboid minor
FJ1538	BP4717	FMA22876	Right semispinalis capitis
FJ1539	BP4715	FMA22874	Right semispinalis cervicis
FJ1540	BP4713	FMA22872	Right semispinalis thoracis
FJ1541	BP4768	FMA13405	Right serratus posterior inferior
FJ1542	BP4766	FMA13403	Right serratus posterior superior
FJ1543	BP8423	FMA77179	Spinalis
FJ1544	BP4763	FMA22779	Right spinalis thoracis
FJ1545	BP4758	FMA22728	Right splenius capitis
FJ1546	BP4760	FMA22726	Right splenius cervicis
FJ1547	BP8895	FMA22850	Lateral lumbar intertransversarius
FJ1548	BP8809	FMA22851	Medial lumbar intertransversarius
FJ1549	BP9131	FMA71442	Set of anterior cervical intertransversarii
FJ1550	BP8370	FMA71307	Set of interspinales lumborum
FJ1551	BP4725	FMA22890	Right interspinalis thoracis
FJ1552	BP9080	FMA71309	Set of interspinales cervicis
FJ1553	BP8656	FMA71443	Set of posterior cervical intertransversarii
FJ1554	BP5610	FMA33584	Transverse part of right trapezius
FJ1555	BP7579	FMA46293	Left digastric
FJ1556	BP7592	FMA46292	Right digastric
FJ1557	BP7685	FMA46288	Inferior oblique part of left longus colli
FJ1558	BP7577	FMA45740	Left platysma
FJ1559	BP7578	FMA46327	Left geniohyoid
FJ1560	BP7579	FMA46293	Left digastric
FJ1561	BP7581	FMA46310	Left longus capitis
FJ1562	BP7582	FMA46322	Left mylohyoid
FJ1563	BP7583	FMA32537	Left obliquus capitis inferior
FJ1564	BP7584	FMA32535	Left obliquus capitis superior
FJ1565	BP7585	FMA13349	Left omohyoid
FJ1566	BP7586	FMA46314	Left rectus capitis anterior
FJ1567	BP7587	FMA32531	Left rectus capitis posterior major
FJ1568	BP7588	FMA32533	Left rectus capitis posterior minor
FJ1569	BP7589	FMA46318	Left rectus capitis lateralis
FJ1570	BP7590	FMA13393	Left scalenus anterior
FJ1571	BP7591	FMA13391	Left scalenus medius
FJ1572	BP4876	FMA13389	Left scalenus posterior
FJ1573	BP4910	FMA13409	Left sternocleidomastoid
FJ1574	BP4918	FMA13347	Left sternohyoid
FJ1575	BP4924	FMA13351	Left sternothyroid
FJ1576	BP4902	FMA45827	Left stylohyoid
FJ1577	BP4921	FMA13353	Left thyrohyoid
FJ1578	BP7579	FMA46293	Left digastric
FJ1579	BP7592	FMA46292	Right digastric
FJ1580	BP4906	FMA46326	Right geniohyoid
FJ1581	BP6514	FMA258850	Right intermediate tendon
FJ1582	BP4703	FMA46309	Right longus capitis
FJ1583	BP4904	FMA46321	Right mylohyoid
FJ1584	BP4740	FMA32536	Right obliquus capitis inferior
FJ1585	BP4738	FMA32534	Right obliquus capitis superior
FJ1586	BP4915	FMA13348	Right omohyoid
FJ1587	BP4912	FMA45739	Right platysma
FJ1588	BP4708	FMA46313	Right rectus capitis anterior
FJ1589	BP4736	FMA32530	Right rectus capitis posterior major
FJ1590	BP4734	FMA32532	Right rectus capitis posterior minor
FJ1591	BP4706	FMA46317	Right rectus capitis lateralis
FJ1592	BP4880	FMA13392	Right scalenus anterior
FJ1593	BP4878	FMA13390	Right scalenus medius
FJ1594	BP4875	FMA13388	Right scalenus posterior
FJ1595	BP4909	FMA13408	Right sternocleidomastoid
FJ1596	BP4917	FMA13346	Right sternohyoid
FJ1597	BP4923	FMA13350	Right sternothyroid
FJ1598	BP4901	FMA45826	Right stylohyoid
FJ1599	BP4920	FMA13352	Right thyrohyoid
FJ1600	BP5595	FMA46284	Superior oblique part of left longus colli
FJ1601	BP5593	FMA46286	Vertical intermediate part of left longus colli
FJ2417	BP9071	FMA7247	Left anterior cusp of pulmonary valve
FJ2418	BP8573	FMA7265	Anterolateral head of lateral papillary muscle of left ventricle
FJ2419	BP9283	FMA7260	Anterior papillary muscle of right ventricle
FJ2420	BP8614	FMA7242	Anterior leaflet of mitral valve
FJ2421	BP8711	FMA7238	Anterior leaflet of tricuspid valve
FJ2422	BP8928	FMA9466	Cavity of left ventricle
FJ2423	BP9227	FMA9291	Cavity of right ventricle
FJ2424	BP8677	FMA11359	Cavity of right atrium
FJ2425	BP8719	FMA9465	Cavity of left atrium
FJ2426	BP8827	FMA7254	Left posterior cusp of aortic valve
FJ2427	BP8601	FMA7250	Posterior cusp of pulmonary valve
FJ2428	BP7815	FMA13884	Wall of ventricle
FJ2429	BP8949	FMA7264	Lateral papillary muscle of left ventricle
FJ2430	BP8146	FMA7261	Posterior papillary muscle of right ventricle
FJ2431	BP7905	FMA7252	Right posterior cusp of aortic valve
FJ2432	BP8834	FMA7243	Posterior leaflet of mitral valve
FJ2433	BP8544	FMA7239	Posterior leaflet of tricuspid valve
FJ2434	BP9033	FMA7249	Right anterior cusp of pulmonary valve
FJ2435	BP8415	FMA7253	Anterior cusp of aortic valve
FJ2436	BP8648	FMA7240	Septal leaflet of tricuspid valve
FJ2437	BP8088	FMA7262	Septal papillary muscle of right ventricle
FJ2438	BP9267	FMA9531	Wall of left atrium
FJ2439	BP8712	FMA9457	Wall of right atrium
FJ2440	BP9117	FMA9615	Cricoid cartilage
FJ2441	BP9109	FMA68227	Inferior lingular bronchial tree
FJ2442	BP8759	FMA68230	Left medial basal segmental bronchial tree
FJ2443	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2444	BP8229	FMA68223	Left apical segmental bronchial tree
FJ2445	BP9045	FMA68232	Left lateral basal segmental bronchial tree
FJ2446	BP8584	FMA68233	Left posterior basal segmental bronchial tree
FJ2447	BP8694	FMA68225	Left posterior segmental bronchial tree
FJ2448	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2449	BP7978	FMA68215	Lateral segmental bronchial tree
FJ2450	BP8386	FMA7396	Left main bronchus
FJ2451	BP8364	FMA68214	Medial segmental bronchial tree
FJ2452	BP8250	FMA68321	Right anterior basal segmental bronchial tree
FJ2453	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2454	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2455	BP8090	FMA68220	Right lateral basal segmental bronchial tree
FJ2456	BP7932	FMA68218	Right medial basal segmental bronchial tree
FJ2457	BP7919	FMA68221	Right posterior basal segmental bronchial tree
FJ2458	BP8644	FMA68213	Right posterior segmental bronchial tree
FJ2459	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2460	BP8229	FMA68223	Left apical segmental bronchial tree
FJ2461	BP8229	FMA68223	Left apical segmental bronchial tree
FJ2462	BP8229	FMA68223	Left apical segmental bronchial tree
FJ2463	BP8229	FMA68223	Left apical segmental bronchial tree
FJ2464	BP8229	FMA68223	Left apical segmental bronchial tree
FJ2465	BP8694	FMA68225	Left posterior segmental bronchial tree
FJ2466	BP8694	FMA68225	Left posterior segmental bronchial tree
FJ2467	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2468	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2469	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2470	BP7919	FMA68221	Right posterior basal segmental bronchial tree
FJ2471	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2472	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2473	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2474	BP7924	FMA68222	Left anterior segmental bronchial tree
FJ2475	BP9109	FMA68227	Inferior lingular bronchial tree
FJ2476	BP8806	FMA68226	Superior lingular bronchial tree
FJ2477	BP8806	FMA68226	Superior lingular bronchial tree
FJ2478	BP8806	FMA68226	Superior lingular bronchial tree
FJ2479	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2480	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2481	BP7919	FMA68221	Right posterior basal segmental bronchial tree
FJ2482	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2483	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2484	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2485	BP8416	FMA68228	Left superior segmental bronchial tree
FJ2486	BP7919	FMA68221	Right posterior basal segmental bronchial tree
FJ2487	BP7919	FMA68221	Right posterior basal segmental bronchial tree
FJ2488	BP7932	FMA68218	Right medial basal segmental bronchial tree
FJ2489	BP7919	FMA68221	Right posterior basal segmental bronchial tree
FJ2490	BP8090	FMA68220	Right lateral basal segmental bronchial tree
FJ2491	BP8090	FMA68220	Right lateral basal segmental bronchial tree
FJ2492	BP8090	FMA68220	Right lateral basal segmental bronchial tree
FJ2493	BP8250	FMA68321	Right anterior basal segmental bronchial tree
FJ2494	BP8250	FMA68321	Right anterior basal segmental bronchial tree
FJ2495	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2496	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2497	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2498	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2499	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2500	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2501	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2502	BP7994	FMA68216	Right superior segmental bronchial tree
FJ2503	BP7978	FMA68215	Lateral segmental bronchial tree
FJ2504	BP7978	FMA68215	Lateral segmental bronchial tree
FJ2505	BP7978	FMA68215	Lateral segmental bronchial tree
FJ2506	BP8364	FMA68214	Medial segmental bronchial tree
FJ2507	BP8364	FMA68214	Medial segmental bronchial tree
FJ2508	BP8364	FMA68214	Medial segmental bronchial tree
FJ2509	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2510	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2511	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2512	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2513	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2514	BP7982	FMA68212	Right anterior segmental bronchial tree
FJ2515	BP8644	FMA68213	Right posterior segmental bronchial tree
FJ2516	BP8644	FMA68213	Right posterior segmental bronchial tree
FJ2517	BP8644	FMA68213	Right posterior segmental bronchial tree
FJ2518	BP8644	FMA68213	Right posterior segmental bronchial tree
FJ2519	BP8644	FMA68213	Right posterior segmental bronchial tree
FJ2520	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2521	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2522	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2523	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2524	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2525	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2526	BP8086	FMA68211	Right apical segmental bronchial tree
FJ2527	BP8584	FMA68233	Left posterior basal segmental bronchial tree
FJ2528	BP8584	FMA68233	Left posterior basal segmental bronchial tree
FJ2529	BP8584	FMA68233	Left posterior basal segmental bronchial tree
FJ2530	BP8584	FMA68233	Left posterior basal segmental bronchial tree
FJ2531	BP8584	FMA68233	Left posterior basal segmental bronchial tree
FJ2532	BP9045	FMA68232	Left lateral basal segmental bronchial tree
FJ2533	BP9045	FMA68232	Left lateral basal segmental bronchial tree
FJ2534	BP9045	FMA68232	Left lateral basal segmental bronchial tree
FJ2535	BP8011	FMA68231	Left anterior basal segmental bronchial tree
FJ2536	BP8011	FMA68231	Left anterior basal segmental bronchial tree
FJ2537	BP8759	FMA68230	Left medial basal segmental bronchial tree
FJ2538	BP8011	FMA68231	Left anterior basal segmental bronchial tree
FJ2539	BP8732	FMA68418	Right main bronchus proper
FJ2540	BP8806	FMA68226	Superior lingular bronchial tree
FJ2541	BP7849	FMA7394	Trachea
FJ2542	BP9157	FMA46444	Left coccygeus
FJ2543	BP8934	FMA21930	External anal sphincter
FJ2544	BP8007	FMA45859	Left iliococcygeus
FJ2545	BP7791	FMA45855	Left pubococcygeus
FJ2546	BP8228	FMA45857	Left puborectalis
FJ2547	BP8115	FMA46443	Right coccygeus
FJ2548	BP8934	FMA21930	External anal sphincter
FJ2549	BP8874	FMA45858	Right iliococcygeus
FJ2550	BP9143	FMA45854	Right pubococcygeus
FJ2551	BP8202	FMA45856	Right puborectalis
FJ2552	BP9016	FMA46442	Tendinous arch of levator ani
FJ2553	BP9016	FMA46442	Tendinous arch of levator ani
FJ1654	BP8702	FMA50029	Right anterior cerebral artery
FJ1655	BP6365	FMA50169	Anterior communicating artery
FJ1656	BP8960	FMA50544	Anterior inferior cerebellar artery
FJ1657	BP7600	FMA50532	Right anterior spinal artery
FJ1658	BP7601	FMA50088	Right anterior choroidal artery
FJ1659	BP9020	FMA50383	Right anterior temporal artery
FJ1660	BP8974	FMA50369	Insular part of right middle cerebral artery
FJ1661	BP7604	FMA50678	Anterior temporal branch of right lateral occipital artery
FJ1662	BP8508	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1663	BP8508	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1664	BP8121	FMA77439	Artery of central sulcus
FJ1665	BP8121	FMA77439	Artery of central sulcus
FJ1666	BP7606	FMA50483	Artery of right postcentral sulcus
FJ1667	BP7607	FMA50486	Right anterior parietal artery
FJ1668	BP7608	FMA50480	Artery of right precentral sulcus
FJ1669	BP7608	FMA50480	Artery of right precentral sulcus
FJ1670	BP7608	FMA50480	Artery of right precentral sulcus
FJ1671	BP7609	FMA50361	Precuneal branch of right pericallosal artery
FJ1672	BP6340	FMA50542	Basilar artery
FJ1673	BP7610	FMA50476	Branch of right middle cerebral artery to right angular gyrus
FJ1674	BP7611	FMA50146	Branch of right anterior choroidal artery to posterior limb of right internal capsule
FJ1675	BP7612	FMA50670	Right thalamogeniculate artery
FJ1676	BP7613	FMA50347	Right callosomarginal artery
FJ1677	BP7614	FMA50684	Right splenial artery
FJ1678	BP7614	FMA50684	Right splenial artery
FJ1679	BP7615	FMA50428	Hypothalamic branch of right posterior communicating artery
FJ1680	BP7616	FMA50680	Middle temporal branch of right lateral occipital artery
FJ1681	BP7617	FMA50351	Intermediomedial branch of right callosomarginal artery
FJ1682	BP7618	FMA3949	Right internal carotid artery
FJ1683	BP7619	FMA50578	Lateral branch of right superior cerebellar artery
FJ1684	BP7620	FMA50568	Lateral branch of right pontine artery
FJ1685	BP7621	FMA50443	Right lateral frontobasal artery
FJ1686	BP7621	FMA50443	Right lateral frontobasal artery
FJ1687	BP7622	FMA50643	Right lateral occipital artery
FJ1688	BP7623	FMA50581	Medial branch of right superior cerebellar artery
FJ1689	BP7624	FMA50566	Medial branch of right pontine artery
FJ1690	BP7625	FMA50343	Right medial frontobasal artery
FJ1691	BP7626	FMA50645	Right medial occipital artery
FJ1692	BP7627	FMA50366	Sphenoid part of right middle cerebral artery
FJ1693	BP9119	FMA50467	Middle temporal branch of right middle cerebral artery
FJ1694	BP8974	FMA50369	Insular part of right middle cerebral artery
FJ1695	BP7629	FMA49869	Right ophthalmic artery
FJ1696	BP7630	FMA50357	Paracentral branch of right callosomarginal artery
FJ1697	BP7630	FMA50357	Paracentral branch of right callosomarginal artery
FJ1698	BP7630	FMA50357	Paracentral branch of right callosomarginal artery
FJ1699	BP7631	FMA50359	Right pericallosal artery
FJ1700	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1701	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1702	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1703	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1704	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1705	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1706	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1707	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1708	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1709	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1710	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1711	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1712	BP7633	FMA50380	Right polar temporal artery
FJ1713	BP7634	FMA50085	Right posterior communicating artery
FJ1714	BP7635	FMA50641	Postcommunicating part of right posterior cerebral artery
FJ1715	BP7632	FMA50519	Right posterior inferior cerebellar artery
FJ1716	BP7636	FMA50489	Right posterior parietal artery
FJ1717	BP8910	FMA50470	Posterior temporal branch of right middle cerebral artery
FJ1718	BP8447	FMA76128	Trunk of inferior terminal branch of right middle cerebral artery
FJ1719	BP8125	FMA71502	Set of posterior temporal branches of lateral occipital artery
FJ1720	BP7639	FMA50664	Right thalamoperforating artery
FJ1721	BP7640	FMA50660	Posteromedial central branch of right posterior cerebral artery
FJ1722	BP7641	FMA50353	Posteromedial branch of right callosomarginal artery
FJ1723	BP7642	FMA50639	Precommunicating part of right posterior cerebral artery
FJ1724	BP7643	FMA50445	Right prefrontal artery
FJ1725	BP7644	FMA3958	Right vertebral artery
FJ1726	BP7645	FMA50574	Right superior cerebellar artery
FJ1727	BP7646	FMA50672	Right posterior medial choroidal artery
FJ1728	BP7647	FMA50696	Superior vermian branch of medial branch of right superior cerebellar artery
FJ1729	BP7648	FMA50473	Temporo-occipital branch of right middle cerebral artery
FJ1730	BP5515	FMA78454	Third ventricle
FJ1731	BP5514	FMA78469	Fourth ventricle
FJ1732	BP10462	FMA72670	Left angular gyrus
FJ1733	BP10465	FMA72669	Right angular gyrus
FJ1734	BP6578	FMA61961	Anterior commissure
FJ1735	BP6569	FMA73462	Brachium of left superior colliculus
FJ1736	BP6570	FMA73461	Brachium of right superior colliculus
FJ1737	BP5511	FMA78497	Central canal of spinal cord
FJ1738	BP5516	FMA78467	Cerebral aqueduct
FJ1739	BP10471	FMA72718	Left cingulate gyrus
FJ1740	BP10488	FMA72717	Right cingulate gyrus
FJ1741	BP6551	FMA61970	Commissure of fornix of forebrain
FJ1742	BP6576	FMA86464	Corpus callosum
FJ1743	BP6549	FMA62032	Habenula
FJ1744	BP10475	FMA72658	Left inferior frontal gyrus
FJ1745	BP10442	FMA72657	Right inferior frontal gyrus
FJ1746	BP10437	FMA72688	Left inferior temporal gyrus
FJ1747	BP10483	FMA72687	Right inferior temporal gyrus
FJ1748	BP10486	FMA72978	Left insula
FJ1749	BP10476	FMA72977	Right insula
FJ1750	BP10456	FMA72907	Left internal capsule
FJ1751	BP10445	FMA72906	Right internal capsule
FJ1752	BP6671	FMA75351	Interventricular foramen
FJ1753	BP10428	FMA72833	Left amygdala
FJ1754	BP10482	FMA72827	Left caudate nucleus
FJ1755	BP5507	FMA61934	Choroid plexus of cerebral hemisphere
FJ1756	BP10472	FMA72925	Left fornix of forebrain
FJ1757	BP10485	FMA72831	Left globus pallidus
FJ1758	BP10423	FMA260794	White matter of left cerebral hemisphere
FJ1759	BP10455	FMA72714	Left hippocampus
FJ1760	BP6496	FMA62008	Hypothalamus
FJ1761	BP10441	FMA73464	Brachium of left inferior colliculus
FJ1762	BP10479	FMA73435	Left inferior colliculus
FJ1763	BP6669	FMA83740	Interpeduncular fossa
FJ1764	BP6558	FMA61975	Lamina terminalis
FJ1766	BP10443	FMA73304	Left lateral geniculate body
FJ1767	BP10468	FMA78450	Left lateral ventricle
FJ1768	BP6596	FMA74877	Mammillary body
FJ1769	BP5693	FMA62004	Medulla oblongata
FJ1770	BP5695	FMA61993	Midbrain
FJ1771	BP5710	FMA62045	Optic chiasm
FJ1772	BP5709	FMA50878	Left optic nerve
FJ1773	BP10451	FMA67936	Left optic tract
FJ1774	BP6560	FMA62394	Peduncle of midbrain
FJ1775	BP6545	FMA67943	Pons
FJ1776	BP10474	FMA72829	Left putamen
FJ1777	BP10435	FMA73414	Left stria medullaris of thalamus
FJ1778	BP10422	FMA72940	Left stria terminalis
FJ1779	BP10424	FMA73423	Left superior colliculus
FJ1780	BP6548	FMA62327	Tuber cinereum
FJ1781	BP5696	FMA67944	Cerebellum
FJ1782	BP10487	FMA258716	Left thalamus
FJ1783	BP10449	FMA72690	Left fusiform gyrus
FJ1784	BP10450	FMA72689	Right fusiform gyrus
FJ1785	BP10439	FMA72706	Left parahippocampal gyrus
FJ1786	BP10447	FMA72705	Right parahippocampal gyrus
FJ1787	BP10463	FMA72656	Left middle frontal gyrus
FJ1788	BP10461	FMA72655	Right middle frontal gyrus
FJ1789	BP10446	FMA72686	Left middle temporal gyrus
FJ1790	BP10448	FMA72685	Right middle temporal gyrus
FJ1791	BP10477	FMA72976	Left occipital lobe
FJ1792	BP10440	FMA72975	Right occipital lobe
FJ1793	BP5675	FMA256194	Orbital gyrus
FJ1794	BP5675	FMA256194	Orbital gyrus
FJ1795	BP5525	FMA62033	Pineal body
FJ1796	BP4630	FMA13889	Pituitary gland
FJ1797	BP10473	FMA72666	Left postcentral gyrus
FJ1798	BP10480	FMA72665	Right postcentral gyrus
FJ1799	BP6553	FMA62072	Posterior commissure
FJ1800	BP10466	FMA72662	Left precentral gyrus
FJ1801	BP10459	FMA72661	Right precentral gyrus
FJ1802	BP10425	FMA72826	Right caudate nucleus
FJ1803	BP5507	FMA61934	Choroid plexus of cerebral hemisphere
FJ1804	BP10452	FMA72924	Right fornix of forebrain
FJ1805	BP10481	FMA72830	Right globus pallidus
FJ1806	BP10430	FMA260791	White matter of right cerebral hemisphere
FJ1807	BP10432	FMA72713	Right hippocampus
FJ1808	BP6496	FMA62008	Hypothalamus
FJ1809	BP10454	FMA73463	Brachium of right inferior colliculus
FJ1810	BP10427	FMA73434	Right inferior colliculus
FJ1811	BP6669	FMA83740	Interpeduncular fossa
FJ1812	BP6558	FMA61975	Lamina terminalis
FJ1813	BP10429	FMA73303	Right lateral geniculate body
FJ1814	BP10436	FMA78449	Right lateral ventricle
FJ1815	BP6596	FMA74877	Mammillary body
FJ1816	BP7746	FMA73309	Right medial geniculate body
FJ1817	BP5695	FMA61993	Midbrain
FJ1818	BP5710	FMA62045	Optic chiasm
FJ1819	BP5708	FMA50875	Right optic nerve
FJ1820	BP10467	FMA62382	Right optic tract
FJ1821	BP6560	FMA62394	Peduncle of midbrain
FJ1822	BP6545	FMA67943	Pons
FJ1823	BP10426	FMA72828	Right putamen
FJ1824	BP10431	FMA73413	Right stria medullaris of thalamus
FJ1825	BP6563	FMA61974	Stria terminalis
FJ1826	BP10470	FMA73422	Right superior colliculus
FJ1827	BP10434	FMA258714	Right thalamus
FJ1828	BP6548	FMA62327	Tuber cinereum
FJ1829	BP10478	FMA72832	Right amygdala
FJ1830	BP5696	FMA67944	Cerebellum
FJ1831	BP5693	FMA62004	Medulla oblongata
FJ1832	BP6580	FMA61842	Septum of telencephalon
FJ1833	BP10453	FMA72654	Left superior frontal gyrus
FJ1834	BP10457	FMA72653	Right superior frontal gyrus
FJ1835	BP10458	FMA72672	Left superior parietal lobule
FJ1836	BP10460	FMA72671	Right superior parietal lobule
FJ1837	BP10464	FMA72801	Anterior part of left superior temporal gyrus
FJ1838	BP10484	FMA72800	Anterior part of right superior temporal gyrus
FJ1839	BP10444	FMA72805	Posterior part of left superior temporal gyrus
FJ1840	BP10433	FMA72804	Posterior part of right superior temporal gyrus
FJ1841	BP10438	FMA72668	Left supramarginal gyrus
FJ1842	BP10469	FMA72667	Right supramarginal gyrus
FJ1843	BP5496	FMA83966	Tentorium cerebelli
FJ1844	BP6340	FMA50542	Basilar artery
FJ2554	BP8269	FMA59505	Right major alar cartilage
FJ2555	BP8231	FMA59506	Left major alar cartilage
FJ2556	BP8535	FMA59513	Left lateral nasal cartilage
FJ2557	BP8657	FMA59503	Septal nasal cartilage
FJ2558	BP8196	FMA59512	Right lateral nasal cartilage
FJ3396	BP9149	FMA14643	Mesentery of small intestine
FJ3397	BP9008	FMA16549	Mesoappendix
FJ3398	BP9186	FMA14647	Transverse mesocolon
FJ2561	BP8804	FMA7196	Spleen
FJ2562	BP8474	FMA14773	Splenic artery
FJ2563	BP9222	FMA7131	Esophagus
FJ2564	BP7926	FMA7148	Stomach
FJ2565	BP8994	FMA14542	Appendix
FJ2566	BP9195	FMA14545	Ascending colon
FJ2567	BP8743	FMA14547	Descending colon
FJ2568	BP8892	FMA15044	Taenia libera
FJ2569	BP8553	FMA15042	Taenia mesocolica
FJ2570	BP9094	FMA15043	Taenia omentalis
FJ2571	BP9212	FMA14544	Rectum
FJ2572	BP8403	FMA14546	Transverse colon
FJ2573	BP8646	FMA7206	Duodenum
FJ2574	BP8147	FMA14964	Proximal part of ileum
FJ2575	BP8147	FMA14964	Proximal part of ileum
FJ2576	BP7819	FMA14965	Middle part of ileum
FJ2577	BP7819	FMA14965	Middle part of ileum
FJ2578	BP7819	FMA14965	Middle part of ileum
FJ2579	BP7819	FMA14965	Middle part of ileum
FJ2580	BP7819	FMA14965	Middle part of ileum
FJ2581	BP7819	FMA14965	Middle part of ileum
FJ2582	BP7819	FMA14965	Middle part of ileum
FJ2583	BP7819	FMA14965	Middle part of ileum
FJ2584	BP7819	FMA14965	Middle part of ileum
FJ2585	BP8147	FMA14964	Proximal part of ileum
FJ2586	BP7819	FMA14965	Middle part of ileum
FJ2587	BP8262	FMA14966	Distal part of ileum
FJ2588	BP8262	FMA14966	Distal part of ileum
FJ2589	BP8262	FMA14966	Distal part of ileum
FJ2590	BP8262	FMA14966	Distal part of ileum
FJ2591	BP8262	FMA14966	Distal part of ileum
FJ2592	BP8262	FMA14966	Distal part of ileum
FJ2593	BP8262	FMA14966	Distal part of ileum
FJ2594	BP8262	FMA14966	Distal part of ileum
FJ2595	BP8262	FMA14966	Distal part of ileum
FJ2596	BP8147	FMA14964	Proximal part of ileum
FJ2597	BP8262	FMA14966	Distal part of ileum
FJ2598	BP8262	FMA14966	Distal part of ileum
