#Model:BodyParts3D
#Version:4.0
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ1423M	BP10015	FMA58777	Left iliotibial tract
FJ2172	BP6909	FMA43898	Right posterior tibial artery
FJ2179	BP6914	FMA43937	Right superficial medial plantar artery
FJ2206	BP6921	FMA43956	Plantar metatarsal artery
FJ2209	BP6803	FMA10697	Right inferior thyroid artery
FJ2210	BP6861	FMA10680	Left inferior thyroid artery
FJ2211	BP6876	FMA23069	Acromial branch of left thoraco-acromial artery
FJ2212	BP6891	FMA22683	Left anterior circumflex humeral artery
FJ2214	BP6866	FMA22813	Left anterior interosseous artery
FJ2215	BP6854	FMA22713	Left inferior ulnar collateral artery
FJ2218	BP7282	FMA22910	Left basilic vein
FJ2219	BP7281	FMA22692	Left brachial artery
FJ2220	BP7279	FMA13326	Left cephalic vein
FJ2221	BP6880	FMA23181	Left circumflex scapular artery
FJ2223	BP6865	FMA22808	Left common interosseous artery
FJ2224	BP6890	FMA4086	Left costocervical trunk
FJ2225	BP6886	FMA22697	Left deep brachial artery
FJ2226	BP6889	FMA4134	Left deep cervical artery
FJ2230	BP6875	FMA23073	Deltoid branch of left thoraco-acromial artery
FJ2231	BP6883	FMA22773	Dorsal carpal branch of left radial artery
FJ2232	BP6858	FMA10552	Left dorsal scapular artery
FJ2236	BP6863	FMA22822	Left dorsal carpal branch of ulnar artery
FJ2239	BP6884	FMA22687	Left posterior circumflex humeral artery
FJ2240	BP6884	FMA22687	Left posterior circumflex humeral artery
FJ2241	BP6864	FMA22805	Left posterior ulnar recurrent artery
FJ2242	BP6881	FMA22734	Left radial artery
FJ2243	BP6882	FMA22766	Left radial recurrent artery
FJ2246	BP6878	FMA22679	Left subscapular artery
FJ2251	BP6860	FMA10681	Left suprascapular artery
FJ2252	BP6873	FMA66564	Trunk of left thoraco-acromial artery
FJ2253	BP6879	FMA66322	Left thoracodorsal artery
FJ2255	BP6859	FMA4084	Left thyrocervical trunk
FJ2256	BP6857	FMA10683	Left superficial cervical artery
FJ2257	BP6856	FMA10682	Left transverse cervical artery
FJ2258	BP6862	FMA22798	Left ulnar artery
FJ2259	BP6867	FMA22802	Left anterior ulnar recurrent artery
FJ2263	BP6808	FMA23068	Acromial branch of right thoraco-acromial artery
FJ2264	BP6823	FMA22682	Right anterior circumflex humeral artery
FJ2266	BP6794	FMA22812	Right anterior interosseous artery
FJ2267	BP6817	FMA22712	Right inferior ulnar collateral artery
FJ2270	BP6987	FMA22909	Right basilic vein
FJ2271	BP6986	FMA22691	Right brachial artery
FJ2272	BP6985	FMA13325	Right cephalic vein
FJ2273	BP6812	FMA23180	Right circumflex scapular artery
FJ2275	BP6793	FMA22807	Right common interosseous artery
FJ2276	BP6822	FMA5039	Right costocervical trunk
FJ2277	BP6818	FMA22696	Right deep brachial artery
FJ2278	BP6821	FMA10660	Right deep cervical artery
FJ2282	BP6807	FMA23072	Deltoid branch of right thoraco-acromial artery
FJ2283	BP6815	FMA22772	Dorsal carpal branch of right radial artery
FJ2284	BP6800	FMA4057	Right dorsal scapular artery
FJ2288	BP6792	FMA22821	Right dorsal carpal branch of ulnar artery
FJ2291	BP6816	FMA22685	Right posterior circumflex humeral artery
FJ2292	BP6816	FMA22685	Right posterior circumflex humeral artery
FJ2293	BP6791	FMA22804	Right posterior ulnar recurrent artery
FJ2294	BP6813	FMA22733	Right radial artery
FJ2295	BP6814	FMA22764	Right radial recurrent artery
FJ2298	BP6810	FMA22678	Right subscapular artery
FJ2303	BP6802	FMA10698	Right suprascapular artery
FJ2304	BP6805	FMA66563	Trunk of right thoraco-acromial artery
FJ2305	BP6811	FMA66321	Right thoracodorsal artery
FJ2307	BP6801	FMA3992	Right thyrocervical trunk
FJ2308	BP6799	FMA10700	Right superficial cervical artery
FJ2309	BP6798	FMA10699	Right transverse cervical artery
FJ2310	BP6790	FMA22797	Right ulnar artery
FJ2311	BP6795	FMA22801	Right anterior ulnar recurrent artery
FJ2330	BP6874	FMA23064	Pectoral branch of left thoraco-acromial artery
FJ2341	BP6984	FMA22935	Right medial brachial vein
FJ2361	BP6806	FMA23063	Pectoral branch of right thoraco-acromial artery
FJ2373	BP6809	FMA22707	Right superior ulnar collateral artery
FJ2374	BP6877	FMA22708	Left superior ulnar collateral artery
FJ2741	BP9723	FMA46729	Left levator veli palatini
FJ2748	BP10150	FMA46732	Left tensor veli palatini
FJ2753	BP10107	FMA46728	Right levator veli palatini
FJ2760	BP9807	FMA46731	Right tensor veli palatini
FJ2761	BP10138	FMA54640	Tongue
FJ2762	BP10165	FMA46733	Uvular muscle
FJ2766	BP10210	FMA59803	Left submandibular gland
FJ2768	BP10168	FMA59802	Right submandibular gland
FJ2772	BP10003	FMA52749	Hyoid bone
FJ2810	BP10155	FMA7163	Skin
FJ2815	BP9718	FMA54319	Pubic hair
FJ2816	BP9928	FMA13365	Caudate lobe of liver
FJ2817	BP10105	FMA7202	Gallbladder
FJ2818	BP10036	FMA15739	Hepatovenous segment II
FJ2819	BP10081	FMA15741	Hepatovenous segment III
FJ2820	BP10028	FMA15742	Hepatovenous segment IV
FJ2821	BP10079	FMA15743	Hepatovenous segment V
FJ2822	BP10201	FMA15744	Hepatovenous segment VI
FJ2823	BP10023	FMA15746	Hepatovenous segment VIII
FJ2824	BP10023	FMA15746	Hepatovenous segment VIII
FJ3071	BP10058	FMA71867	Anterior superior tributary of right hepatic biliary tree
FJ3072	BP10219	FMA71868	Anterior inferior tributary of right hepatic biliary tree
FJ3073	BP9458	FMA15420	Anterior superior segmental branch of right portal vein
FJ3074	BP9788	FMA15421	Anterior inferior segmental branch of right portal vein
FJ3075	BP10026	FMA70443	Anterior inferior segmental hepatic artery
FJ3076	BP10177	FMA70442	Anterior superior segmental hepatic artery
FJ3077	BP10182	FMA70455	Caudate lobe branch of left hepatic artery
FJ3078	BP9379	FMA14771	Common hepatic artery
FJ3079	BP10135	FMA14668	Common hepatic duct
FJ3080	BP10134	FMA14539	Cystic duct
FJ3081	BP9378	FMA14772	Hepatic artery proper
FJ3082	BP9979	FMA71904	Pre-hepatic portal vein
FJ3083	BP9879	FMA15800	Anterior inferior segmental tributary of middle hepatic vein
FJ3086	BP9879	FMA15800	Anterior inferior segmental tributary of middle hepatic vein
FJ3088	BP9933	FMA71887	Lateral superior tributary of left hepatic biliary tree
FJ3089	BP10013	FMA71888	Lateral inferior tributary of left hepatic biliary tree
FJ3090	BP9933	FMA71887	Lateral superior tributary of left hepatic biliary tree
FJ3091	BP9375	FMA70452	Lateral superior segmental hepatic artery
FJ3092	BP9983	FMA70453	Lateral inferior segmental hepatic artery
FJ3093	BP9375	FMA70452	Lateral superior segmental hepatic artery
FJ3095	BP9905	FMA70457	Trunk of left hepatic artery
FJ3096	BP9922	FMA14670	Left hepatic duct
FJ3102	BP10211	FMA82697	Trunk of left portal vein
FJ3103	BP9325	FMA71886	Medial inferior tributary of left hepatic biliary tree
FJ3104	BP9670	FMA71885	Medial superior tributary of left hepatic biliary tree
FJ3105	BP9670	FMA71885	Medial superior tributary of left hepatic biliary tree
FJ3106	BP9655	FMA70450	Medial inferior segmental hepatic artery
FJ3107	BP9610	FMA70449	Medial superior segmental hepatic artery
FJ3108	BP10132	FMA71870	Posterior inferior tributary of right hepatic biliary tree
FJ3109	BP9897	FMA71869	Posterior superior tributary of right hepatic biliary tree
FJ3110	BP9897	FMA71869	Posterior superior tributary of right hepatic biliary tree
FJ3111	BP9972	FMA15424	Posterior inferior segmental branch of right portal vein
FJ3112	BP9817	FMA15423	Posterior superior segmental branch of right portal vein
FJ3113	BP9817	FMA15423	Posterior superior segmental branch of right portal vein
FJ3114	BP10041	FMA70446	Posterior inferior segmental hepatic artery
FJ3115	BP9808	FMA70445	Posterior superior segmental hepatic artery
FJ3116	BP9808	FMA70445	Posterior superior segmental hepatic artery
FJ3117	BP10065	FMA70456	Trunk of right hepatic artery
FJ3122	BP10055	FMA82695	Trunk of right portal vein
FJ3123	BP10222	FMA14669	Right hepatic duct
FJ3124	BP10044	FMA15425	Caudate lobe branch of left portal vein
FJ3125	BP10082	FMA15432	Lateral inferior segmental branch of left portal vein
FJ3126	BP10010	FMA15431	Lateral superior segmental branch of left portal vein
FJ3127	BP9692	FMA15428	Medial superior segmental branch of left portal vein
FJ3128	BP10140	FMA15429	Medial inferior segmental branch of left portal vein
FJ2631	BP10078	FMA74912	Trunk of anterior interventricular branch of left coronary artery
FJ2632	BP10050	FMA3872	First right anterior branch of anterior interventricular branch of left coronary artery
FJ2633	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2634	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2635	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2636	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2637	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2638	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2639	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2640	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2641	BP9888	FMA3876	Third right anterior branch of anterior interventricular branch of left coronary artery
FJ2642	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2643	BP9555	FMA3868	Conus branch of anterior interventricular branch of left coronary artery
FJ2644	BP9555	FMA3868	Conus branch of anterior interventricular branch of left coronary artery
FJ2645	BP10050	FMA3872	First right anterior branch of anterior interventricular branch of left coronary artery
FJ2646	BP10042	FMA3874	Second right anterior branch of anterior interventricular branch of left coronary artery
FJ2647	BP9888	FMA3876	Third right anterior branch of anterior interventricular branch of left coronary artery
FJ2648	BP9547	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2649	BP9745	FMA3895	Circumflex branch of left coronary artery
FJ2650	BP9745	FMA3895	Circumflex branch of left coronary artery
FJ2651	BP9745	FMA3895	Circumflex branch of left coronary artery
FJ2652	BP9745	FMA3895	Circumflex branch of left coronary artery
FJ2653	BP9745	FMA3895	Circumflex branch of left coronary artery
FJ2654	BP9745	FMA3895	Circumflex branch of left coronary artery
FJ2655	BP10136	FMA4706	Coronary sinus
FJ2656	BP10060	FMA4707	Great cardiac vein
FJ2667	BP9776	FMA3818	Marginal branch of right coronary artery
FJ2668	BP9776	FMA3818	Marginal branch of right coronary artery
FJ2670	BP9911	FMA3807	Right conus artery
FJ2671	BP9354	FMA3815	First anterior ventricular branch of right coronary artery
FJ2672	BP9776	FMA3818	Marginal branch of right coronary artery
FJ2673	BP9354	FMA3815	First anterior ventricular branch of right coronary artery
FJ2674	BP9776	FMA3818	Marginal branch of right coronary artery
FJ2675	BP9776	FMA3818	Marginal branch of right coronary artery
FJ2676	BP9911	FMA3807	Right conus artery
FJ2677	BP9354	FMA3815	First anterior ventricular branch of right coronary artery
FJ2678	BP9528	FMA4713	Middle cardiac vein
FJ2679	BP9528	FMA4713	Middle cardiac vein
FJ2680	BP9528	FMA4713	Middle cardiac vein
FJ2681	BP9528	FMA4713	Middle cardiac vein
FJ2682	BP9528	FMA4713	Middle cardiac vein
FJ2683	BP9528	FMA4713	Middle cardiac vein
FJ2684	BP9528	FMA4713	Middle cardiac vein
FJ2685	BP9528	FMA4713	Middle cardiac vein
FJ2686	BP9528	FMA4713	Middle cardiac vein
FJ2687	BP9528	FMA4713	Middle cardiac vein
FJ2688	BP9528	FMA4713	Middle cardiac vein
FJ2689	BP9528	FMA4713	Middle cardiac vein
FJ2690	BP9528	FMA4713	Middle cardiac vein
FJ2691	BP9528	FMA4713	Middle cardiac vein
FJ2692	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2693	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2694	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2695	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2696	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2697	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2698	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2699	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2700	BP9400	FMA3840	Posterior interventricular branch of right coronary artery
FJ2701	BP9556	FMA4712	Posterior vein of left ventricle
FJ2702	BP9556	FMA4712	Posterior vein of left ventricle
FJ2703	BP9886	FMA4708	Left marginal vein
FJ2704	BP9886	FMA4708	Left marginal vein
FJ2705	BP9886	FMA4708	Left marginal vein
FJ2706	BP9556	FMA4712	Posterior vein of left ventricle
FJ2707	BP9556	FMA4712	Posterior vein of left ventricle
FJ2708	BP9556	FMA4712	Posterior vein of left ventricle
FJ2709	BP9556	FMA4712	Posterior vein of left ventricle
FJ2710	BP9556	FMA4712	Posterior vein of left ventricle
FJ2711	BP9556	FMA4712	Posterior vein of left ventricle
FJ2712	BP9556	FMA4712	Posterior vein of left ventricle
FJ2713	BP9556	FMA4712	Posterior vein of left ventricle
FJ2714	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2715	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2716	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2717	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2718	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2719	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2720	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2721	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2722	BP9298	FMA3837	First posterior ventricular branch of right coronary artery
FJ2723	BP9674	FMA3802	Trunk of right coronary artery
FJ2724	BP9967	FMA4714	Small cardiac vein
FJ2727	BP9791	FMA4716	Right marginal vein
FJ2728	BP9791	FMA4716	Right marginal vein
FJ2729	BP9791	FMA4716	Right marginal vein
FJ2731	BP9967	FMA4714	Small cardiac vein
FJ2737	BP10074	FMA3855	Trunk of left coronary artery
FJ3406	BP10387	FMA14816	Anterior cecal artery
FJ3410	BP10412	FMA14818	Appendicular artery
FJ3414	BP10392	FMA14820	Ascending branch of inferior branch of ileocolic artery
FJ3421	BP10650	FMA14812	Celiac trunk
FJ3432	BP10637	FMA76574	Trunk of gastroduodenal artery
FJ3437	BP10641	FMA14809	Ileal artery
FJ3439	BP10384	FMA14815	Ileocolic artery
FJ3442	BP10371	FMA14750	Inferior mesenteric artery
FJ3494	BP10390	FMA14826	Left colic artery
FJ3499	BP10419	FMA14768	Left gastric artery
FJ3514	BP10372	FMA14747	Left inferior phrenic artery
FJ3515	BP10372	FMA14747	Left inferior phrenic artery
FJ3516	BP10372	FMA14747	Left inferior phrenic artery
FJ3517	BP10372	FMA14747	Left inferior phrenic artery
FJ3518	BP10372	FMA14747	Left inferior phrenic artery
FJ3519	BP10372	FMA14747	Left inferior phrenic artery
FJ3520	BP10372	FMA14747	Left inferior phrenic artery
FJ3534	BP10643	FMA14831	Marginal artery of colon
FJ3542	BP10405	FMA14810	Middle colic artery
FJ3553	BP10382	FMA14817	Posterior cecal artery
FJ3590	BP10414	FMA14811	Right colic artery
FJ3594	BP10635	FMA14776	Right gastric artery
FJ3604	BP10411	FMA20688	Right inferior epigastric artery
FJ3614	BP10393	FMA20735	Right superficial epigastric artery
FJ3619	BP10381	FMA14746	Right inferior phrenic artery
FJ3620	BP10381	FMA14746	Right inferior phrenic artery
FJ3621	BP10381	FMA14746	Right inferior phrenic artery
FJ3622	BP10381	FMA14746	Right inferior phrenic artery
FJ3623	BP10381	FMA14746	Right inferior phrenic artery
FJ3624	BP10381	FMA14746	Right inferior phrenic artery
FJ3625	BP10381	FMA14746	Right inferior phrenic artery
FJ3626	BP10381	FMA14746	Right inferior phrenic artery
FJ3638	BP10398	FMA14830	Sigmoid artery
FJ3644	BP10640	FMA66358	Trunk of superior mesenteric artery
FJ3656	BP10370	FMA14832	Superior rectal artery
FJ3411	BP10404	FMA3768	Arch of aorta
FJ3413	BP10408	FMA3736	Ascending aorta
FJ3417	BP9434	FMA3932	Brachiocephalic artery
FJ3427	BP10373	FMA3784	Descending aorta
FJ3479	BP9324	FMA4694	Left subclavian artery
FJ3483	BP9517	FMA4058	Left common carotid artery
FJ3564	BP9519	FMA3941	Right common carotid artery
FJ3579	BP9433	FMA3953	Right subclavian artery
FJ3416	BP10421	FMA4838	Azygos vein
FJ3434	BP10418	FMA4944	Hemiazygos vein
FJ3441	BP10397	FMA10951	Inferior vena cava
FJ3482	BP10379	FMA4761	Left brachiocephalic vein
FJ3583	BP10410	FMA4751	Right brachiocephalic vein
FJ3585	BP10409	FMA4754	Right internal jugular vein
FJ3587	BP10415	FMA4755	Right subclavian vein
FJ3645	BP10386	FMA4720	Superior vena cava
FJ3659	BP10397	FMA10951	Inferior vena cava
FJ3464	BP10378	FMA14766	Left common iliac artery
FJ3466	BP10377	FMA18807	Left external iliac artery
FJ3468	BP10407	FMA18810	Left internal iliac artery
FJ3511	BP10420	FMA20689	Left inferior epigastric artery
FJ3529	BP10375	FMA20736	Left superficial epigastric artery
FJ3532	BP10649	FMA14760	Left testicular artery
FJ3565	BP10391	FMA14765	Right common iliac artery
FJ3567	BP10395	FMA18806	Right external iliac artery
FJ3569	BP10400	FMA18809	Right internal iliac artery
FJ3617	BP10648	FMA14759	Right testicular artery
FJ3465	BP10413	FMA21388	Left common iliac vein
FJ3469	BP10396	FMA18888	Left internal iliac vein
FJ3470	BP10396	FMA18888	Left internal iliac vein
FJ3471	BP10396	FMA18888	Left internal iliac vein
FJ3484	BP10401	FMA18886	Left external iliac vein
FJ3522	BP10401	FMA18886	Left external iliac vein
FJ3523	BP10401	FMA18886	Left external iliac vein
FJ3524	BP10401	FMA18886	Left external iliac vein
FJ3533	BP10634	FMA14345	Left testicular vein
FJ3566	BP10399	FMA21387	Right common iliac vein
FJ3568	BP10388	FMA18885	Right external iliac vein
FJ3570	BP10406	FMA18887	Right internal iliac vein
FJ3571	BP10406	FMA18887	Right internal iliac vein
FJ3572	BP10406	FMA18887	Right internal iliac vein
FJ3607	BP10406	FMA18887	Right internal iliac vein
FJ3608	BP10406	FMA18887	Right internal iliac vein
FJ3609	BP10406	FMA18887	Right internal iliac vein
FJ3618	BP10642	FMA14341	Right testicular vein
FJ3420	BP9789	FMA14773	Splenic artery
FJ3446	BP10646	FMA14805	Inferior pancreaticoduodenal artery
FJ3544	BP9789	FMA14773	Splenic artery
FJ3640	BP9789	FMA14773	Splenic artery
FJ3447	BP10639	FMA68068	Inferior phrenic vein
FJ3448	BP10639	FMA68068	Inferior phrenic vein
FJ3449	BP10639	FMA68068	Inferior phrenic vein
FJ3450	BP10639	FMA68068	Inferior phrenic vein
FJ3451	BP10639	FMA68068	Inferior phrenic vein
FJ3452	BP10639	FMA68068	Inferior phrenic vein
FJ3648	BP10636	FMA78121	Superior phrenic vein
FJ3649	BP10636	FMA78121	Superior phrenic vein
FJ3650	BP10636	FMA78121	Superior phrenic vein
FJ3651	BP10636	FMA78121	Superior phrenic vein
FJ3652	BP10636	FMA78121	Superior phrenic vein
FJ3653	BP10636	FMA78121	Superior phrenic vein
FJ3654	BP10636	FMA78121	Superior phrenic vein
FJ3467	BP10402	FMA69266	Left inferior suprarenal artery
FJ3472	BP10644	FMA14756	Left middle suprarenal artery
FJ3476	BP10652	FMA66364	Trunk of left renal artery
FJ3481	BP10647	FMA70493	Ureteric segment of left renal artery
FJ3576	BP10654	FMA66363	Trunk of right renal artery
FJ3581	BP10633	FMA70492	Ureteric segment of right renal artery
FJ3582	BP10633	FMA70492	Ureteric segment of right renal artery
FJ3584	BP10416	FMA69265	Right inferior suprarenal artery
FJ3586	BP10645	FMA14755	Right middle suprarenal artery
FJ3480	BP10653	FMA14349	Left suprarenal vein
FJ3580	BP10651	FMA14343	Right suprarenal vein
FJ2881	BP9511	FMA8647	Left posterior basal segmental artery
FJ2882	BP9615	FMA8646	Left lateral basal segmental artery
FJ2883	BP9878	FMA8645	Left anterior basal segmental artery
FJ2884	BP9628	FMA8644	Left medial basal segmental artery
FJ2885	BP9628	FMA8644	Left medial basal segmental artery
FJ2886	BP9878	FMA8645	Left anterior basal segmental artery
FJ2887	BP9878	FMA8645	Left anterior basal segmental artery
FJ2888	BP9412	FMA8642	Left superior segmental artery
FJ2889	BP9412	FMA8642	Left superior segmental artery
FJ2890	BP9412	FMA8642	Left superior segmental artery
FJ2891	BP9412	FMA8642	Left superior segmental artery
FJ2892	BP9511	FMA8647	Left posterior basal segmental artery
FJ2893	BP9412	FMA8642	Left superior segmental artery
FJ2894	BP9412	FMA8642	Left superior segmental artery
FJ2895	BP9412	FMA8642	Left superior segmental artery
FJ2896	BP10101	FMA8640	Inferior lingular artery
FJ2897	BP10101	FMA8640	Inferior lingular artery
FJ2898	BP9726	FMA8639	Superior lingular artery
FJ2899	BP9726	FMA8639	Superior lingular artery
FJ2900	BP9726	FMA8639	Superior lingular artery
FJ2901	BP9726	FMA8639	Superior lingular artery
FJ2902	BP9625	FMA13279	Left anterior segmental artery
FJ2903	BP9511	FMA8647	Left posterior basal segmental artery
FJ2904	BP9625	FMA13279	Left anterior segmental artery
FJ2905	BP9625	FMA13279	Left anterior segmental artery
FJ2906	BP9625	FMA13279	Left anterior segmental artery
FJ2907	BP9625	FMA13279	Left anterior segmental artery
FJ2908	BP9625	FMA13279	Left anterior segmental artery
FJ2909	BP9625	FMA13279	Left anterior segmental artery
FJ2910	BP9625	FMA13279	Left anterior segmental artery
FJ2911	BP9793	FMA8635	Left posterior segmental artery
FJ2912	BP9793	FMA8635	Left posterior segmental artery
FJ2913	BP9793	FMA8635	Left posterior segmental artery
FJ2914	BP9511	FMA8647	Left posterior basal segmental artery
FJ2915	BP9657	FMA8634	Left apical segmental artery
FJ2916	BP9657	FMA8634	Left apical segmental artery
FJ2917	BP9657	FMA8634	Left apical segmental artery
FJ2918	BP9657	FMA8634	Left apical segmental artery
FJ2919	BP9511	FMA8647	Left posterior basal segmental artery
FJ2920	BP9511	FMA8647	Left posterior basal segmental artery
FJ2921	BP9615	FMA8646	Left lateral basal segmental artery
FJ2922	BP9615	FMA8646	Left lateral basal segmental artery
FJ2923	BP9615	FMA8646	Left lateral basal segmental artery
FJ2924	BP9414	FMA50873	Left pulmonary artery
FJ2925	BP9499	FMA49916	Left superior pulmonary vein
FJ2926	BP9574	FMA9438	Left posterior segmental vein
FJ2927	BP9574	FMA9438	Left posterior segmental vein
FJ2928	BP9574	FMA9438	Left posterior segmental vein
FJ2929	BP9574	FMA9438	Left posterior segmental vein
FJ2930	BP9587	FMA8667	Left anterior segmental vein
FJ2931	BP9587	FMA8667	Left anterior segmental vein
FJ2932	BP9587	FMA8667	Left anterior segmental vein
FJ2933	BP9499	FMA49916	Left superior pulmonary vein
FJ2934	BP9496	FMA8669	Inferior lingular vein
FJ2935	BP9496	FMA8669	Inferior lingular vein
FJ2936	BP9647	FMA9437	Left apical segmental vein
FJ2937	BP9565	FMA8668	Superior lingular vein
FJ2938	BP9565	FMA8668	Superior lingular vein
FJ2939	BP9574	FMA9438	Left posterior segmental vein
FJ2940	BP9574	FMA9438	Left posterior segmental vein
FJ2941	BP9574	FMA9438	Left posterior segmental vein
FJ2942	BP9574	FMA9438	Left posterior segmental vein
FJ2943	BP9574	FMA9438	Left posterior segmental vein
FJ2944	BP9712	FMA49913	Left inferior pulmonary vein
FJ2945	BP9984	FMA9451	Left posterior basal segmental vein
FJ2946	BP9984	FMA9451	Left posterior basal segmental vein
FJ2947	BP9647	FMA9437	Left apical segmental vein
FJ2948	BP9984	FMA9451	Left posterior basal segmental vein
FJ2949	BP9984	FMA9451	Left posterior basal segmental vein
FJ2950	BP9712	FMA49913	Left inferior pulmonary vein
FJ2951	BP9735	FMA9450	Left lateral basal segmental vein
FJ2952	BP9735	FMA9450	Left lateral basal segmental vein
FJ2953	BP9735	FMA9450	Left lateral basal segmental vein
FJ2954	BP9735	FMA9450	Left lateral basal segmental vein
FJ2955	BP9712	FMA49913	Left inferior pulmonary vein
FJ2956	BP9935	FMA8678	Left anterior basal segmental vein
FJ2957	BP9935	FMA8678	Left anterior basal segmental vein
FJ2958	BP9647	FMA9437	Left apical segmental vein
FJ2959	BP9935	FMA8678	Left anterior basal segmental vein
FJ2960	BP9935	FMA8678	Left anterior basal segmental vein
FJ2961	BP9647	FMA9437	Left apical segmental vein
FJ2962	BP9647	FMA9437	Left apical segmental vein
FJ2963	BP9647	FMA9437	Left apical segmental vein
FJ2964	BP9647	FMA9437	Left apical segmental vein
FJ2965	BP9574	FMA9438	Left posterior segmental vein
FJ2966	BP9912	FMA8612	Pulmonary trunk
FJ2967	BP9687	FMA68662	Apical part of right apical segmental artery
FJ2968	BP9540	FMA68670	Apical part of right posterior segmental artery
FJ2969	BP9540	FMA68670	Apical part of right posterior segmental artery
FJ2970	BP9421	FMA68673	Posterior part of right posterior segmental artery
FJ2971	BP9421	FMA68673	Posterior part of right posterior segmental artery
FJ2972	BP9421	FMA68673	Posterior part of right posterior segmental artery
FJ2973	BP9426	FMA68197	Right upper lobar artery
FJ2974	BP9819	FMA68677	Posterior branch of right anterior segmental artery
FJ2975	BP9743	FMA68683	Anterior branch of right anterior segmental artery
FJ2976	BP9743	FMA68683	Anterior branch of right anterior segmental artery
FJ2977	BP9743	FMA68683	Anterior branch of right anterior segmental artery
FJ2978	BP9666	FMA68665	Anterior part of right apical segmental artery
FJ2979	BP9743	FMA68683	Anterior branch of right anterior segmental artery
FJ2980	BP9819	FMA68677	Posterior branch of right anterior segmental artery
FJ2981	BP9819	FMA68677	Posterior branch of right anterior segmental artery
FJ2982	BP9441	FMA68691	Anterior branch of lateral segmental artery
FJ2983	BP9642	FMA68690	Posterior branch of lateral segmental artery
FJ2984	BP9642	FMA68690	Posterior branch of lateral segmental artery
FJ2985	BP9441	FMA68691	Anterior branch of lateral segmental artery
FJ2986	BP9721	FMA68693	Superior branch of medial segmental artery
FJ2987	BP9541	FMA68694	Inferior branch of medial segmental artery
FJ2988	BP9541	FMA68694	Inferior branch of medial segmental artery
FJ2989	BP9666	FMA68665	Anterior part of right apical segmental artery
FJ2990	BP9721	FMA68693	Superior branch of medial segmental artery
FJ2991	BP9584	FMA68712	Lateral branch of right superior segmental artery
FJ2992	BP9584	FMA68712	Lateral branch of right superior segmental artery
FJ2993	BP9584	FMA68712	Lateral branch of right superior segmental artery
FJ2994	BP9774	FMA68706	Medial branch of right superior segmental artery
FJ2995	BP9774	FMA68706	Medial branch of right superior segmental artery
FJ2996	BP9774	FMA68706	Medial branch of right superior segmental artery
FJ2997	BP9750	FMA68709	Superior branch of right superior segmental artery
FJ2998	BP9750	FMA68709	Superior branch of right superior segmental artery
FJ2999	BP9750	FMA68709	Superior branch of right superior segmental artery
FJ3000	BP9666	FMA68665	Anterior part of right apical segmental artery
FJ3001	BP9938	FMA68725	Lateral branch of right anterior basal segmental artery
FJ3002	BP9767	FMA68723	Basal branch of right anterior basal segmental artery
FJ3003	BP9767	FMA68723	Basal branch of right anterior basal segmental artery
FJ3004	BP9607	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3005	BP9607	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3006	BP9607	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3007	BP9607	FMA68728	Lateral branch of right lateral basal segmental artery
FJ3008	BP9623	FMA68741	Mediobasal branch of right posterior basal segmental artery
FJ3009	BP10207	FMA68735	Accessory subsuperior branch of right posterior basal segmental artery
FJ3010	BP10207	FMA68735	Accessory subsuperior branch of right posterior basal segmental artery
FJ3011	BP9666	FMA68665	Anterior part of right apical segmental artery
FJ3012	BP9623	FMA68741	Mediobasal branch of right posterior basal segmental artery
