#Model:BodyParts3D
#Version:4.1
#Tree:is_a
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14930	FMA55563	Left inferior parathyroid gland
FJ1479	BP13581	FMA37699	Long head of right triceps brachii
FJ1480	BP13580	FMA37695	Medial head of right triceps brachii
FJ1481	BP13579	FMA46121	Oblique head of right adductor pollicis
FJ1482	BP13377	FMA37400	Opponens digiti minimi of right hand
FJ1483	BP11216	FMA37386	Right abductor pollicis brevis
FJ1484	BP13361	FMA38516	Right abductor pollicis longus
FJ1485	BP11211	FMA37705	Right anconeus
FJ1486	BP13352	FMA37668	Right brachialis
FJ1487	BP13370	FMA38486	Right brachioradialis
FJ1488	BP11212	FMA37665	Right coracobrachialis
FJ1489	BP13362	FMA38498	Right extensor carpi radialis brevis
FJ1490	BP11214	FMA38495	Right extensor carpi radialis longus
FJ1491	BP13368	FMA38504	Right extensor digiti minimi
FJ1492	BP11213	FMA38501	Right extensor digitorum
FJ1493	BP13353	FMA38525	Right extensor indicis
FJ1494	BP13360	FMA38519	Right extensor pollicis brevis
FJ1495	BP13359	FMA38522	Right extensor pollicis longus
FJ1496	BP13373	FMA38460	Right flexor carpi radialis
FJ1497	BP13376	FMA38479	Right flexor digitorum profundus
FJ1498	BP13374	FMA38482	Right flexor pollicis longus
FJ1499	BP13371	FMA38470	Right flexor digitorum superficialis
FJ1500	BP11210	FMA32547	Right infraspinatus muscle
FJ1501	BP11215	FMA37390	Right opponens pollicis
FJ1502	BP13372	FMA38463	Right palmaris longus
FJ1503	BP13375	FMA38454	Right pronator quadratus
FJ1504	BP13351	FMA13414	Right subscapularis
FJ1505	BP13358	FMA38513	Right supinator
FJ1506	BP13344	FMA32544	Right supraspinatus
FJ1507	BP13343	FMA32551	Right teres major
FJ1508	BP13345	FMA32553	Right teres minor
FJ1509	BP14073	FMA42404	Set of dorsal interossei of right hand
FJ1510	BP14075	FMA42398	Set of lumbricals of right hand
FJ1511	BP14074	FMA42402	Set of palmar interossei of right hand
FJ1512	BP13573	FMA37684	Short head of right biceps brachii
FJ1513	BP11306	FMA34684	Spinal part of right deltoid
FJ1514	BP13572	FMA65198	Superficial head of right flexor pollicis brevis
FJ1515	BP13569	FMA46123	Transverse head of right adductor pollicis
FJ1516	BP11298	FMA38562	Ulnar head of right pronator teres
FJ1517	BP13369	FMA38507	Right extensor carpi ulnaris
FJ1518	BP11299	FMA38619	Ulnar head of right flexor carpi ulnaris
FJ1520	BP13615	FMA33581	Ascending part of right trapezius
FJ1521	BP13614	FMA33586	Descending part of right trapezius
FJ1522	BP13330	FMA23089	Right lumbar rotator
FJ1524	BP13331	FMA81752	Right cervical rotator
FJ1525	BP12308	FMA23083	Thoracic rotator
FJ1526	BP13338	FMA22744	Right iliocostalis cervicis
FJ1527	BP13337	FMA22740	Right iliocostalis lumborum
FJ1528	BP11203	FMA22742	Right iliocostalis thoracis
FJ1532	BP11209	FMA32540	Right levator scapulae
FJ1533	BP13336	FMA22754	Right longissimus capitis
FJ1534	BP13335	FMA22757	Right longissimus cervicis
FJ1535	BP12051	FMA22751	Right longissimus thoracis
FJ1536	BP13341	FMA13381	Right rhomboid major
FJ1537	BP11208	FMA13383	Right rhomboid minor
FJ1538	BP11557	FMA22876	Right semispinalis capitis
FJ1539	BP11556	FMA22874	Right semispinalis cervicis
FJ1540	BP13329	FMA22872	Right semispinalis thoracis
FJ1541	BP11205	FMA13405	Right serratus posterior inferior
FJ1542	BP11204	FMA13403	Right serratus posterior superior
FJ1543	BP12327	FMA77179	Spinalis
FJ1544	BP13340	FMA22779	Right spinalis thoracis
FJ1545	BP13339	FMA22728	Right splenius capitis
FJ1546	BP11571	FMA22726	Right splenius cervicis
FJ1547	BP14600	FMA22850	Lateral lumbar intertransversarius
FJ1548	BP12624	FMA22851	Medial lumbar intertransversarius
FJ1549	BP12771	FMA71442	Set of anterior cervical intertransversarii
FJ1550	BP12291	FMA71307	Set of interspinales lumborum
FJ1551	BP11196	FMA22890	Right interspinalis thoracis
FJ1552	BP14690	FMA71309	Set of interspinales cervicis
FJ1553	BP12504	FMA71443	Set of posterior cervical intertransversarii
FJ1554	BP11307	FMA33584	Transverse part of right trapezius
FJ1555	BP11586	FMA46293	Left digastric
FJ1556	BP14112	FMA46292	Right digastric
FJ1557	BP11613	FMA46288	Inferior oblique part of left longus colli
FJ1558	BP14102	FMA45740	Left platysma
FJ1559	BP14103	FMA46327	Left geniohyoid
FJ1560	BP11586	FMA46293	Left digastric
FJ1561	BP11587	FMA46310	Left longus capitis
FJ1562	BP11588	FMA46322	Left mylohyoid
FJ1563	BP11589	FMA32537	Left obliquus capitis inferior
FJ1564	BP11590	FMA32535	Left obliquus capitis superior
FJ1565	BP14104	FMA13349	Left omohyoid
FJ1566	BP14105	FMA46314	Left rectus capitis anterior
FJ1567	BP14106	FMA32531	Left rectus capitis posterior major
FJ1568	BP14107	FMA32533	Left rectus capitis posterior minor
FJ1569	BP14108	FMA46318	Left rectus capitis lateralis
FJ1570	BP14109	FMA13393	Left scalenus anterior
FJ1571	BP14111	FMA13391	Left scalenus medius
FJ1572	BP13389	FMA13389	Left scalenus posterior
FJ1573	BP13401	FMA13409	Left sternocleidomastoid
FJ1574	BP11226	FMA13347	Left sternohyoid
FJ1575	BP11231	FMA13351	Left sternothyroid
FJ1576	BP13399	FMA45827	Left stylohyoid
FJ1577	BP11229	FMA13353	Left thyrohyoid
FJ1578	BP11586	FMA46293	Left digastric
FJ1579	BP14112	FMA46292	Right digastric
FJ1580	BP11223	FMA46326	Right geniohyoid
FJ1581	BP11527	FMA258850	Right intermediate tendon
FJ1582	BP11193	FMA46309	Right longus capitis
FJ1583	BP11221	FMA46321	Right mylohyoid
FJ1584	BP13334	FMA32536	Right obliquus capitis inferior
FJ1585	BP11201	FMA32534	Right obliquus capitis superior
FJ1586	BP13404	FMA13348	Right omohyoid
FJ1587	BP13402	FMA45739	Right platysma
FJ1588	BP11195	FMA46313	Right rectus capitis anterior
FJ1589	BP11200	FMA32530	Right rectus capitis posterior major
FJ1590	BP11198	FMA32532	Right rectus capitis posterior minor
FJ1591	BP13327	FMA46317	Right rectus capitis lateralis
FJ1592	BP10837	FMA13392	Right scalenus anterior
FJ1593	BP11219	FMA13390	Right scalenus medius
FJ1594	BP13388	FMA13388	Right scalenus posterior
FJ1595	BP13400	FMA13408	Right sternocleidomastoid
FJ1596	BP13405	FMA13346	Right sternohyoid
FJ1597	BP11230	FMA13350	Right sternothyroid
FJ1598	BP13398	FMA45826	Right stylohyoid
FJ1599	BP11228	FMA13352	Right thyrohyoid
FJ1600	BP13588	FMA46284	Superior oblique part of left longus colli
FJ1601	BP11303	FMA46286	Vertical intermediate part of left longus colli
FJ2417	BP12753	FMA7247	Left anterior cusp of pulmonary valve
FJ2418	BP12437	FMA7265	Anterolateral head of lateral papillary muscle of left ventricle
FJ2419	BP14781	FMA7260	Anterior papillary muscle of right ventricle
FJ2420	BP12470	FMA7242	Anterior leaflet of mitral valve
FJ2421	BP14589	FMA7238	Anterior leaflet of tricuspid valve
FJ2422	BP14620	FMA9466	Cavity of left ventricle
FJ2423	BP10877	FMA9291	Cavity of right ventricle
FJ2424	BP12517	FMA11359	Cavity of right atrium
FJ2425	BP12548	FMA9465	Cavity of left atrium
FJ2426	BP12637	FMA7254	Left posterior cusp of aortic valve
FJ2427	BP12460	FMA7250	Posterior cusp of pulmonary valve
FJ2428	BP13197	FMA13884	Wall of ventricle
FJ2429	BP14629	FMA7264	Lateral papillary muscle of left ventricle
FJ2430	BP12177	FMA7261	Posterior papillary muscle of right ventricle
FJ2431	BP13121	FMA7252	Right posterior cusp of aortic valve
FJ2432	BP12642	FMA7243	Posterior leaflet of mitral valve
FJ2433	BP12414	FMA7239	Posterior leaflet of tricuspid valve
FJ2434	BP14672	FMA7249	Right anterior cusp of pulmonary valve
FJ2435	BP12320	FMA7253	Anterior cusp of aortic valve
FJ2436	BP12498	FMA7240	Septal leaflet of tricuspid valve
FJ2437	BP13200	FMA7262	Septal papillary muscle of right ventricle
FJ2438	BP14775	FMA9531	Wall of left atrium
FJ2439	BP14590	FMA9457	Wall of right atrium
FJ2440	BP12770	FMA9615	Cricoid cartilage
FJ2441	BP12764	FMA68227	Inferior lingular bronchial tree
FJ2442	BP12579	FMA68230	Left medial basal segmental bronchial tree
FJ2443	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2444	BP12223	FMA68223	Left apical segmental bronchial tree
FJ2445	BP12746	FMA68232	Left lateral basal segmental bronchial tree
FJ2446	BP12445	FMA68233	Left posterior basal segmental bronchial tree
FJ2447	BP13745	FMA68225	Left posterior segmental bronchial tree
FJ2448	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2449	BP13355	FMA68215	Lateral segmental bronchial tree
FJ2450	BP13246	FMA7396	Left main bronchus
FJ2451	BP12287	FMA68214	Medial segmental bronchial tree
FJ2452	BP13366	FMA68321	Right anterior basal segmental bronchial tree
FJ2453	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2454	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2455	BP13407	FMA68220	Right lateral basal segmental bronchial tree
FJ2456	BP14403	FMA68218	Right medial basal segmental bronchial tree
FJ2457	BP13321	FMA68221	Right posterior basal segmental bronchial tree
FJ2458	BP12494	FMA68213	Right posterior segmental bronchial tree
FJ2459	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2460	BP12223	FMA68223	Left apical segmental bronchial tree
FJ2461	BP12223	FMA68223	Left apical segmental bronchial tree
FJ2462	BP12223	FMA68223	Left apical segmental bronchial tree
FJ2463	BP12223	FMA68223	Left apical segmental bronchial tree
FJ2464	BP12223	FMA68223	Left apical segmental bronchial tree
FJ2465	BP13745	FMA68225	Left posterior segmental bronchial tree
FJ2466	BP13745	FMA68225	Left posterior segmental bronchial tree
FJ2467	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2468	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2469	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2470	BP13321	FMA68221	Right posterior basal segmental bronchial tree
FJ2471	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2472	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2473	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2474	BP12098	FMA68222	Left anterior segmental bronchial tree
FJ2475	BP12764	FMA68227	Inferior lingular bronchial tree
FJ2476	BP13382	FMA68226	Superior lingular bronchial tree
FJ2477	BP13382	FMA68226	Superior lingular bronchial tree
FJ2478	BP13382	FMA68226	Superior lingular bronchial tree
FJ2479	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2480	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2481	BP13321	FMA68221	Right posterior basal segmental bronchial tree
FJ2482	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2483	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2484	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2485	BP12321	FMA68228	Left superior segmental bronchial tree
FJ2486	BP13321	FMA68221	Right posterior basal segmental bronchial tree
FJ2487	BP13321	FMA68221	Right posterior basal segmental bronchial tree
FJ2488	BP14403	FMA68218	Right medial basal segmental bronchial tree
FJ2489	BP13321	FMA68221	Right posterior basal segmental bronchial tree
FJ2490	BP13407	FMA68220	Right lateral basal segmental bronchial tree
FJ2491	BP13407	FMA68220	Right lateral basal segmental bronchial tree
FJ2492	BP13407	FMA68220	Right lateral basal segmental bronchial tree
FJ2493	BP13366	FMA68321	Right anterior basal segmental bronchial tree
FJ2494	BP13366	FMA68321	Right anterior basal segmental bronchial tree
FJ2495	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2496	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2497	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2498	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2499	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2500	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2501	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2502	BP12120	FMA68216	Right superior segmental bronchial tree
FJ2503	BP13355	FMA68215	Lateral segmental bronchial tree
FJ2504	BP13355	FMA68215	Lateral segmental bronchial tree
FJ2505	BP13355	FMA68215	Lateral segmental bronchial tree
FJ2506	BP12287	FMA68214	Medial segmental bronchial tree
FJ2507	BP12287	FMA68214	Medial segmental bronchial tree
FJ2508	BP12287	FMA68214	Medial segmental bronchial tree
FJ2509	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2510	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2511	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2512	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2513	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2514	BP14419	FMA68212	Right anterior segmental bronchial tree
FJ2515	BP12494	FMA68213	Right posterior segmental bronchial tree
FJ2516	BP12494	FMA68213	Right posterior segmental bronchial tree
FJ2517	BP12494	FMA68213	Right posterior segmental bronchial tree
FJ2518	BP12494	FMA68213	Right posterior segmental bronchial tree
FJ2519	BP12494	FMA68213	Right posterior segmental bronchial tree
FJ2520	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2521	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2522	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2523	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2524	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2525	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2526	BP14450	FMA68211	Right apical segmental bronchial tree
FJ2527	BP12445	FMA68233	Left posterior basal segmental bronchial tree
FJ2528	BP12445	FMA68233	Left posterior basal segmental bronchial tree
FJ2529	BP12445	FMA68233	Left posterior basal segmental bronchial tree
FJ2530	BP12445	FMA68233	Left posterior basal segmental bronchial tree
FJ2531	BP12445	FMA68233	Left posterior basal segmental bronchial tree
FJ2532	BP12746	FMA68232	Left lateral basal segmental bronchial tree
FJ2533	BP12746	FMA68232	Left lateral basal segmental bronchial tree
FJ2534	BP12746	FMA68232	Left lateral basal segmental bronchial tree
FJ2535	BP12043	FMA68231	Left anterior basal segmental bronchial tree
FJ2536	BP12043	FMA68231	Left anterior basal segmental bronchial tree
FJ2537	BP12579	FMA68230	Left medial basal segmental bronchial tree
FJ2538	BP12043	FMA68231	Left anterior basal segmental bronchial tree
FJ2539	BP13479	FMA68418	Right main bronchus proper
FJ2540	BP13382	FMA68226	Superior lingular bronchial tree
FJ2541	BP14372	FMA7394	Trachea
FJ2542	BP14722	FMA46444	Left coccygeus
FJ2543	BP12697	FMA21930	External anal sphincter
FJ2544	BP13298	FMA45859	Left iliococcygeus
FJ2545	BP14355	FMA45855	Left pubococcygeus
FJ2546	BP12222	FMA45857	Left puborectalis
FJ2547	BP13319	FMA46443	Right coccygeus
FJ2548	BP12697	FMA21930	External anal sphincter
FJ2549	BP12671	FMA45858	Right iliococcygeus
FJ2550	BP14719	FMA45854	Right pubococcygeus
FJ2551	BP12213	FMA45856	Right puborectalis
FJ2552	BP13597	FMA46442	Tendinous arch of levator ani
FJ2553	BP13597	FMA46442	Tendinous arch of levator ani
FJ1654	BP12538	FMA50029	Right anterior cerebral artery
FJ1655	BP11492	FMA50169	Anterior communicating artery
FJ1656	BP10823	FMA50544	Anterior inferior cerebellar artery
FJ1657	BP14113	FMA50532	Right anterior spinal artery
FJ1658	BP14114	FMA50088	Right anterior choroidal artery
FJ1659	BP12732	FMA50383	Right anterior temporal artery
FJ1660	BP12718	FMA50369	Insular part of right middle cerebral artery
FJ1661	BP14115	FMA50678	Anterior temporal branch of right lateral occipital artery
FJ1662	BP14561	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1663	BP14561	FMA50377	Anterolateral central branch of right middle cerebral artery
FJ1664	BP12073	FMA77439	Artery of central sulcus
FJ1665	BP12073	FMA77439	Artery of central sulcus
FJ1666	BP14116	FMA50483	Artery of right postcentral sulcus
FJ1667	BP14119	FMA50486	Right anterior parietal artery
FJ1668	BP14120	FMA50480	Artery of right precentral sulcus
FJ1669	BP14120	FMA50480	Artery of right precentral sulcus
FJ1670	BP14120	FMA50480	Artery of right precentral sulcus
FJ1671	BP11591	FMA50361	Precuneal branch of right pericallosal artery
FJ1672	BP13986	FMA50542	Basilar artery
FJ1673	BP14121	FMA50476	Branch of right middle cerebral artery to right angular gyrus
FJ1674	BP14122	FMA50146	Branch of right anterior choroidal artery to posterior limb of right internal capsule
FJ1675	BP14123	FMA50670	Right thalamogeniculate artery
FJ1676	BP11592	FMA50347	Right callosomarginal artery
FJ1677	BP11593	FMA50684	Right splenial artery
FJ1678	BP11593	FMA50684	Right splenial artery
FJ1679	BP11594	FMA50428	Hypothalamic branch of right posterior communicating artery
FJ1680	BP14124	FMA50680	Middle temporal branch of right lateral occipital artery
FJ1681	BP14125	FMA50351	Intermediomedial branch of right callosomarginal artery
FJ1682	BP14126	FMA3949	Right internal carotid artery
FJ1683	BP14127	FMA50578	Lateral branch of right superior cerebellar artery
FJ1684	BP14128	FMA50568	Lateral branch of right pontine artery
FJ1685	BP11595	FMA50443	Right lateral frontobasal artery
FJ1686	BP11595	FMA50443	Right lateral frontobasal artery
FJ1687	BP14129	FMA50643	Right lateral occipital artery
FJ1688	BP14130	FMA50581	Medial branch of right superior cerebellar artery
FJ1689	BP11596	FMA50566	Medial branch of right pontine artery
FJ1690	BP14131	FMA50343	Right medial frontobasal artery
FJ1691	BP11597	FMA50645	Right medial occipital artery
FJ1692	BP14132	FMA50366	Sphenoid part of right middle cerebral artery
FJ1693	BP11795	FMA50467	Middle temporal branch of right middle cerebral artery
FJ1694	BP12718	FMA50369	Insular part of right middle cerebral artery
FJ1695	BP14134	FMA49869	Right ophthalmic artery
FJ1696	BP11598	FMA50357	Paracentral branch of right callosomarginal artery
FJ1697	BP11598	FMA50357	Paracentral branch of right callosomarginal artery
FJ1698	BP11598	FMA50357	Paracentral branch of right callosomarginal artery
FJ1699	BP14135	FMA50359	Right pericallosal artery
FJ1700	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1701	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1702	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1703	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1704	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1705	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1706	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1707	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1708	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1709	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1710	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1711	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1712	BP14136	FMA50380	Right polar temporal artery
FJ1713	BP14137	FMA50085	Right posterior communicating artery
FJ1714	BP14138	FMA50641	Postcommunicating part of right posterior cerebral artery
FJ1715	BP11599	FMA50519	Right posterior inferior cerebellar artery
FJ1716	BP11600	FMA50489	Right posterior parietal artery
FJ1717	BP14609	FMA50470	Posterior temporal branch of right middle cerebral artery
FJ1718	BP12342	FMA76128	Trunk of inferior terminal branch of right middle cerebral artery
FJ1719	BP12170	FMA71502	Set of posterior temporal branches of lateral occipital artery
FJ1720	BP11601	FMA50664	Right thalamoperforating artery
FJ1721	BP14139	FMA50660	Posteromedial central branch of right posterior cerebral artery
FJ1722	BP14140	FMA50353	Posteromedial branch of right callosomarginal artery
FJ1723	BP14141	FMA50639	Precommunicating part of right posterior cerebral artery
FJ1724	BP14142	FMA50445	Right prefrontal artery
FJ1725	BP14143	FMA3958	Right vertebral artery
FJ1726	BP14144	FMA50574	Right superior cerebellar artery
FJ1727	BP14148	FMA50672	Right posterior medial choroidal artery
FJ1728	BP14149	FMA50696	Superior vermian branch of medial branch of right superior cerebellar artery
FJ1729	BP11602	FMA50473	Temporo-occipital branch of right middle cerebral artery
FJ1730	BP11291	FMA78454	Third ventricle
FJ1731	BP11290	FMA78469	Fourth ventricle
FJ1732	BP14199	FMA72670	Left angular gyrus
FJ1733	BP14202	FMA72669	Right angular gyrus
FJ1734	BP11552	FMA61961	Anterior commissure
FJ1735	BP14050	FMA73462	Brachium of left superior colliculus
FJ1736	BP14051	FMA73461	Brachium of right superior colliculus
FJ1737	BP11289	FMA78497	Central canal of spinal cord
FJ1738	BP11292	FMA78467	Cerebral aqueduct
FJ1739	BP14211	FMA72718	Left cingulate gyrus
FJ1740	BP14225	FMA72717	Right cingulate gyrus
FJ1741	BP11543	FMA61970	Commissure of fornix of forebrain
FJ1742	BP11551	FMA86464	Corpus callosum
FJ1743	BP11541	FMA62032	Habenula
FJ1744	BP14215	FMA72658	Left inferior frontal gyrus
FJ1745	BP14176	FMA72657	Right inferior frontal gyrus
FJ1746	BP14171	FMA72688	Left inferior temporal gyrus
FJ1747	BP12092	FMA72687	Right inferior temporal gyrus
FJ1748	BP12108	FMA72978	Left insula
FJ1749	BP14216	FMA72977	Right insula
FJ1750	BP14192	FMA72907	Left internal capsule
FJ1751	BP14181	FMA72906	Right internal capsule
FJ1752	BP14093	FMA75351	Interventricular foramen
FJ1753	BP11616	FMA72833	Left amygdala
FJ1754	BP12086	FMA72827	Left caudate nucleus
FJ1755	BP13554	FMA61934	Choroid plexus of cerebral hemisphere
FJ1756	BP14212	FMA72925	Left fornix of forebrain
FJ1757	BP14224	FMA72831	Left globus pallidus
FJ1758	BP12132	FMA260794	White matter of left cerebral hemisphere
FJ1759	BP14191	FMA72714	Left hippocampus
FJ1760	BP14024	FMA62008	Hypothalamus
FJ1761	BP14175	FMA73464	Brachium of left inferior colliculus
FJ1762	BP12404	FMA73435	Left inferior colliculus
FJ1763	BP11585	FMA83740	Interpeduncular fossa
FJ1764	BP11545	FMA61975	Lamina terminalis
FJ1766	BP14177	FMA73304	Left lateral geniculate body
FJ1767	BP14204	FMA78450	Left lateral ventricle
FJ1768	BP11559	FMA74877	Mammillary body
FJ1769	BP11318	FMA62004	Medulla oblongata
FJ1770	BP13642	FMA61993	Midbrain
FJ1771	BP11326	FMA62045	Optic chiasm
FJ1772	BP11325	FMA50878	Left optic nerve
FJ1773	BP14187	FMA67936	Left optic tract
FJ1774	BP11546	FMA62394	Peduncle of midbrain
FJ1775	BP11538	FMA67943	Pons
FJ1776	BP14214	FMA72829	Left putamen
FJ1777	BP12174	FMA73414	Left stria medullaris of thalamus
FJ1778	BP11615	FMA72940	Left stria terminalis
FJ1779	BP14161	FMA73423	Left superior colliculus
FJ1780	BP11540	FMA62327	Tuber cinereum
FJ1781	BP11319	FMA67944	Cerebellum
FJ1782	BP12109	FMA258716	Left thalamus
FJ1783	BP14185	FMA72690	Left fusiform gyrus
FJ1784	BP14186	FMA72689	Right fusiform gyrus
FJ1785	BP14173	FMA72706	Left parahippocampal gyrus
FJ1786	BP14183	FMA72705	Right parahippocampal gyrus
FJ1787	BP14200	FMA72656	Left middle frontal gyrus
FJ1788	BP14198	FMA72655	Right middle frontal gyrus
FJ1789	BP14182	FMA72686	Left middle temporal gyrus
FJ1790	BP14184	FMA72685	Right middle temporal gyrus
FJ1791	BP14217	FMA72976	Left occipital lobe
FJ1792	BP14174	FMA72975	Right occipital lobe
FJ1793	BP13630	FMA256194	Orbital gyrus
FJ1794	BP13630	FMA256194	Orbital gyrus
FJ1795	BP13561	FMA62033	Pineal body
FJ1796	BP13312	FMA13889	Pituitary gland
FJ1797	BP14213	FMA72666	Left postcentral gyrus
FJ1798	BP14221	FMA72665	Right postcentral gyrus
FJ1799	BP14043	FMA62072	Posterior commissure
FJ1800	BP14203	FMA72662	Left precentral gyrus
FJ1801	BP14196	FMA72661	Right precentral gyrus
FJ1802	BP12133	FMA72826	Right caudate nucleus
FJ1803	BP13554	FMA61934	Choroid plexus of cerebral hemisphere
FJ1804	BP14188	FMA72924	Right fornix of forebrain
FJ1805	BP14222	FMA72830	Right globus pallidus
FJ1806	BP14165	FMA260791	White matter of right cerebral hemisphere
FJ1807	BP14167	FMA72713	Right hippocampus
FJ1808	BP14024	FMA62008	Hypothalamus
FJ1809	BP14190	FMA73463	Brachium of right inferior colliculus
FJ1810	BP14163	FMA73434	Right inferior colliculus
FJ1811	BP11585	FMA83740	Interpeduncular fossa
FJ1812	BP11545	FMA61975	Lamina terminalis
FJ1813	BP12154	FMA73303	Right lateral geniculate body
FJ1814	BP14170	FMA78449	Right lateral ventricle
FJ1815	BP11559	FMA74877	Mammillary body
FJ1816	BP14159	FMA73309	Right medial geniculate body
FJ1817	BP13642	FMA61993	Midbrain
FJ1818	BP11326	FMA62045	Optic chiasm
FJ1819	BP11324	FMA50875	Right optic nerve
FJ1820	BP12330	FMA62382	Right optic tract
FJ1821	BP11546	FMA62394	Peduncle of midbrain
FJ1822	BP11538	FMA67943	Pons
FJ1823	BP14162	FMA72828	Right putamen
FJ1824	BP14166	FMA73413	Right stria medullaris of thalamus
FJ1825	BP14046	FMA61974	Stria terminalis
FJ1826	BP14210	FMA73422	Right superior colliculus
FJ1827	BP14169	FMA258714	Right thalamus
FJ1828	BP11540	FMA62327	Tuber cinereum
FJ1829	BP14220	FMA72832	Right amygdala
FJ1830	BP11319	FMA67944	Cerebellum
FJ1831	BP11318	FMA62004	Medulla oblongata
FJ1832	BP14053	FMA61842	Septum of telencephalon
FJ1833	BP14189	FMA72654	Left superior frontal gyrus
FJ1834	BP14193	FMA72653	Right superior frontal gyrus
FJ1835	BP14195	FMA72672	Left superior parietal lobule
FJ1836	BP14197	FMA72671	Right superior parietal lobule
FJ1837	BP14201	FMA72801	Anterior part of left superior temporal gyrus
FJ1838	BP14223	FMA72800	Anterior part of right superior temporal gyrus
FJ1839	BP14178	FMA72805	Posterior part of left superior temporal gyrus
FJ1840	BP14168	FMA72804	Posterior part of right superior temporal gyrus
FJ1841	BP14172	FMA72668	Left supramarginal gyrus
FJ1842	BP14205	FMA72667	Right supramarginal gyrus
FJ1843	BP11279	FMA83966	Tentorium cerebelli
FJ1844	BP13986	FMA50542	Basilar artery
FJ2554	BP12244	FMA59505	Right major alar cartilage
FJ2555	BP12225	FMA59506	Left major alar cartilage
FJ2556	BP12069	FMA59513	Left lateral nasal cartilage
FJ2557	BP12505	FMA59503	Septal nasal cartilage
FJ2558	BP12208	FMA59512	Right lateral nasal cartilage
FJ3396	BP12779	FMA14643	Mesentery of small intestine
FJ3397	BP14657	FMA16549	Mesoappendix
FJ3398	BP12790	FMA14647	Transverse mesocolon
FJ2561	BP12621	FMA7196	Spleen
FJ2562	BP12360	FMA14773	Splenic artery
FJ2563	BP12812	FMA7131	Esophagus
FJ2564	BP14237	FMA7148	Stomach
FJ2565	BP14648	FMA14542	Appendix
FJ2566	BP12796	FMA14545	Ascending colon
FJ2567	BP12566	FMA14547	Descending colon
FJ2568	BP14599	FMA15044	Taenia libera
FJ2569	BP12420	FMA15042	Taenia mesocolica
FJ2570	BP14699	FMA15043	Taenia omentalis
FJ2571	BP12802	FMA14544	Rectum
FJ2572	BP12311	FMA14546	Transverse colon
FJ2573	BP12496	FMA7206	Duodenum
FJ2574	BP13792	FMA14964	Proximal part of ileum
FJ2575	BP13792	FMA14964	Proximal part of ileum
FJ2576	BP12083	FMA14965	Middle part of ileum
FJ2577	BP12083	FMA14965	Middle part of ileum
FJ2578	BP12083	FMA14965	Middle part of ileum
FJ2579	BP12083	FMA14965	Middle part of ileum
FJ2580	BP12083	FMA14965	Middle part of ileum
FJ2581	BP12083	FMA14965	Middle part of ileum
FJ2582	BP12083	FMA14965	Middle part of ileum
FJ2583	BP12083	FMA14965	Middle part of ileum
