#Model:BodyParts3D
#Version:4.1
#Tree:part_of
#FJID	BPID	FMA_ID	FMA_Name
FJ3673	BP14953	FMA55563	Left inferior parathyroid gland
FJ2096	BP14350	FMA43956	Plantar metatarsal artery
FJ2130	BP11666	FMA43896	Right anterior tibial artery
FJ2133	BP14332	FMA69494	Right arcuate artery
FJ2137	BP11667	FMA22507	Right descending genicular artery
FJ2143	BP11160	FMA70249	Right femoral artery
FJ2158	BP14335	FMA20801	Right lateral circumflex femoral artery
FJ2159	BP14336	FMA43931	Right lateral plantar artery
FJ2163	BP14333	FMA69490	Right lateral tarsal artery
FJ2164	BP14338	FMA43929	Right medial plantar artery
FJ2169	BP11669	FMA43943	Right plantar arch
FJ2170	BP11670	FMA77380	Right popliteal artery
FJ2172	BP11668	FMA43898	Right posterior tibial artery
FJ2179	BP14339	FMA43937	Right superficial medial plantar artery
FJ2206	BP14350	FMA43956	Plantar metatarsal artery
FJ2209	BP14269	FMA10697	Right inferior thyroid artery
FJ2210	BP14306	FMA10680	Left inferior thyroid artery
FJ2211	BP14316	FMA23069	Acromial branch of left thoraco-acromial artery
FJ2212	BP14329	FMA22683	Left anterior circumflex humeral artery
FJ2214	BP11659	FMA22813	Left anterior interosseous artery
FJ2215	BP14298	FMA22713	Left inferior ulnar collateral artery
FJ2218	BP14496	FMA22910	Left basilic vein
FJ2219	BP14495	FMA22692	Left brachial artery
FJ2220	BP14494	FMA13326	Left cephalic vein
FJ2221	BP14321	FMA23181	Left circumflex scapular artery
FJ2223	BP11658	FMA22808	Left common interosseous artery
FJ2224	BP11663	FMA4086	Left costocervical trunk
FJ2225	BP11662	FMA22697	Left deep brachial artery
FJ2226	BP14328	FMA4134	Left deep cervical artery
FJ2230	BP14315	FMA23073	Deltoid branch of left thoraco-acromial artery
FJ2231	BP14323	FMA22773	Dorsal carpal branch of left radial artery
FJ2232	BP14303	FMA10552	Left dorsal scapular artery
FJ2236	BP14308	FMA22822	Left dorsal carpal branch of ulnar artery
FJ2239	BP14324	FMA22687	Left posterior circumflex humeral artery
FJ2240	BP14324	FMA22687	Left posterior circumflex humeral artery
FJ2241	BP11657	FMA22805	Left posterior ulnar recurrent artery
FJ2242	BP14322	FMA22734	Left radial artery
FJ2243	BP11661	FMA22766	Left radial recurrent artery
FJ2246	BP14319	FMA22679	Left subscapular artery
FJ2251	BP14305	FMA10681	Left suprascapular artery
FJ2252	BP14313	FMA66564	Trunk of left thoraco-acromial artery
FJ2253	BP14320	FMA66322	Left thoracodorsal artery
FJ2255	BP14304	FMA4084	Left thyrocervical trunk
FJ2256	BP14302	FMA10683	Left superficial cervical artery
FJ2257	BP14301	FMA10682	Left transverse cervical artery
FJ2258	BP14307	FMA22798	Left ulnar artery
FJ2259	BP11660	FMA22802	Left anterior ulnar recurrent artery
FJ2263	BP14274	FMA23068	Acromial branch of right thoraco-acromial artery
FJ2264	BP14289	FMA22682	Right anterior circumflex humeral artery
FJ2266	BP14258	FMA22812	Right anterior interosseous artery
FJ2267	BP14282	FMA22712	Right inferior ulnar collateral artery
FJ2270	BP14413	FMA22909	Right basilic vein
FJ2271	BP11679	FMA22691	Right brachial artery
FJ2272	BP11678	FMA13325	Right cephalic vein
FJ2273	BP14277	FMA23180	Right circumflex scapular artery
FJ2275	BP11847	FMA22807	Right common interosseous artery
FJ2276	BP14288	FMA5039	Right costocervical trunk
FJ2277	BP14283	FMA22696	Right deep brachial artery
FJ2278	BP14287	FMA10660	Right deep cervical artery
FJ2282	BP14273	FMA23072	Deltoid branch of right thoraco-acromial artery
FJ2283	BP14280	FMA22772	Dorsal carpal branch of right radial artery
FJ2284	BP11645	FMA4057	Right dorsal scapular artery
FJ2288	BP14257	FMA22821	Right dorsal carpal branch of ulnar artery
FJ2291	BP14281	FMA22685	Right posterior circumflex humeral artery
FJ2292	BP14281	FMA22685	Right posterior circumflex humeral artery
FJ2293	BP14256	FMA22804	Right posterior ulnar recurrent artery
FJ2294	BP14278	FMA22733	Right radial artery
FJ2295	BP14279	FMA22764	Right radial recurrent artery
FJ2298	BP14275	FMA22678	Right subscapular artery
FJ2303	BP14268	FMA10698	Right suprascapular artery
FJ2304	BP14271	FMA66563	Trunk of right thoraco-acromial artery
FJ2305	BP14276	FMA66321	Right thoracodorsal artery
FJ2307	BP11646	FMA3992	Right thyrocervical trunk
FJ2308	BP14267	FMA10700	Right superficial cervical artery
FJ2309	BP14266	FMA10699	Right transverse cervical artery
FJ2310	BP11846	FMA22797	Right ulnar artery
FJ2311	BP11644	FMA22801	Right anterior ulnar recurrent artery
FJ2330	BP14314	FMA23064	Pectoral branch of left thoraco-acromial artery
FJ2341	BP11677	FMA22935	Right medial brachial vein
FJ2361	BP11647	FMA23063	Pectoral branch of right thoraco-acromial artery
FJ2373	BP11648	FMA22707	Right superior ulnar collateral artery
FJ2374	BP14318	FMA22708	Left superior ulnar collateral artery
FJ2741	BP10861	FMA46729	Left levator veli palatini
FJ2748	BP11091	FMA46732	Left tensor veli palatini
FJ2753	BP13216	FMA46728	Right levator veli palatini
FJ2760	BP10909	FMA46731	Right tensor veli palatini
FJ2761	BP11081	FMA54640	Tongue
FJ2762	BP13240	FMA46733	Uvular muscle
FJ2766	BP13263	FMA59803	Left submandibular gland
FJ2768	BP13247	FMA59802	Right submandibular gland
FJ2772	BP13158	FMA52749	Hyoid bone
FJ2810	BP11096	FMA7163	Skin
FJ2815	BP13052	FMA54319	Pubic hair
FJ2816	BP13129	FMA13365	Caudate lobe of liver
FJ2817	BP13215	FMA7202	Gallbladder
FJ2818	BP11035	FMA15739	Hepatovenous segment II
FJ2819	BP11051	FMA15741	Hepatovenous segment III
FJ2820	BP13167	FMA15742	Hepatovenous segment IV
FJ2821	BP13203	FMA15743	Hepatovenous segment V
FJ2822	BP11123	FMA15744	Hepatovenous segment VI
FJ2823	BP11028	FMA15746	Hepatovenous segment VIII
FJ2824	BP11028	FMA15746	Hepatovenous segment VIII
FJ3071	BP13185	FMA71867	Anterior superior tributary of right hepatic biliary tree
FJ3072	BP13265	FMA71868	Anterior inferior tributary of right hepatic biliary tree
FJ3073	BP12950	FMA15420	Anterior superior segmental branch of right portal vein
FJ3074	BP10898	FMA15421	Anterior inferior segmental branch of right portal vein
FJ3075	BP11031	FMA70443	Anterior inferior segmental hepatic artery
FJ3076	BP11106	FMA70442	Anterior superior segmental hepatic artery
FJ3077	BP11111	FMA70455	Caudate lobe branch of left hepatic artery
FJ3078	BP14925	FMA14771	Common hepatic artery
FJ3079	BP13235	FMA14668	Common hepatic duct
FJ3080	BP11079	FMA14539	Cystic duct
FJ3081	BP14924	FMA14772	Hepatic artery proper
FJ3082	BP13147	FMA71904	Pre-hepatic portal vein
FJ3083	BP10948	FMA15800	Anterior inferior segmental tributary of middle hepatic vein
FJ3086	BP10948	FMA15800	Anterior inferior segmental tributary of middle hepatic vein
FJ3088	BP13133	FMA71887	Lateral superior tributary of left hepatic biliary tree
FJ3089	BP13162	FMA71888	Lateral inferior tributary of left hepatic biliary tree
FJ3090	BP13133	FMA71887	Lateral superior tributary of left hepatic biliary tree
FJ3091	BP10985	FMA70452	Lateral superior segmental hepatic artery
FJ3092	BP12038	FMA70453	Lateral inferior segmental hepatic artery
FJ3093	BP10985	FMA70452	Lateral superior segmental hepatic artery
FJ3095	BP11350	FMA70457	Trunk of left hepatic artery
FJ3096	BP10970	FMA14670	Left hepatic duct
FJ3102	BP11129	FMA82697	Trunk of left portal vein
FJ3103	BP14145	FMA71886	Medial inferior tributary of left hepatic biliary tree
FJ3104	BP10844	FMA71885	Medial superior tributary of left hepatic biliary tree
FJ3105	BP10844	FMA71885	Medial superior tributary of left hepatic biliary tree
FJ3106	BP10831	FMA70450	Medial inferior segmental hepatic artery
FJ3107	BP13001	FMA70449	Medial superior segmental hepatic artery
FJ3108	BP13234	FMA71870	Posterior inferior tributary of right hepatic biliary tree
FJ3109	BP10955	FMA71869	Posterior superior tributary of right hepatic biliary tree
FJ3110	BP10955	FMA71869	Posterior superior tributary of right hepatic biliary tree
FJ3111	BP11004	FMA15424	Posterior inferior segmental branch of right portal vein
FJ3112	BP13086	FMA15423	Posterior superior segmental branch of right portal vein
FJ3113	BP13086	FMA15423	Posterior superior segmental branch of right portal vein
FJ3114	BP11827	FMA70446	Posterior inferior segmental hepatic artery
FJ3115	BP11513	FMA70445	Posterior superior segmental hepatic artery
FJ3116	BP11513	FMA70445	Posterior superior segmental hepatic artery
FJ3117	BP11044	FMA70456	Trunk of right hepatic artery
FJ3122	BP11038	FMA82695	Trunk of right portal vein
FJ3123	BP13269	FMA14669	Right hepatic duct
FJ3124	BP13177	FMA15425	Caudate lobe branch of left portal vein
FJ3125	BP11052	FMA15432	Lateral inferior segmental branch of left portal vein
FJ3126	BP11021	FMA15431	Lateral superior segmental branch of left portal vein
FJ3127	BP13037	FMA15428	Medial superior segmental branch of left portal vein
FJ3128	BP13237	FMA15429	Medial inferior segmental branch of left portal vein
FJ2631	BP13202	FMA74912	Trunk of anterior interventricular branch of left coronary artery
FJ2632	BP11036	FMA3872	First right anterior branch of anterior interventricular branch of left coronary artery
FJ2633	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2634	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2635	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2636	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2637	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2638	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2639	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2640	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2641	BP13114	FMA3876	Third right anterior branch of anterior interventricular branch of left coronary artery
FJ2642	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2643	BP10762	FMA3868	Conus branch of anterior interventricular branch of left coronary artery
FJ2644	BP10762	FMA3868	Conus branch of anterior interventricular branch of left coronary artery
FJ2645	BP11036	FMA3872	First right anterior branch of anterior interventricular branch of left coronary artery
FJ2646	BP13176	FMA3874	Second right anterior branch of anterior interventricular branch of left coronary artery
FJ2647	BP13114	FMA3876	Third right anterior branch of anterior interventricular branch of left coronary artery
FJ2648	BP10757	FMA3860	Diagonal branch of anterior descending branch of left coronary artery
FJ2649	BP10872	FMA3895	Circumflex branch of left coronary artery
FJ2650	BP10872	FMA3895	Circumflex branch of left coronary artery
FJ2651	BP10872	FMA3895	Circumflex branch of left coronary artery
FJ2652	BP10872	FMA3895	Circumflex branch of left coronary artery
FJ2653	BP10872	FMA3895	Circumflex branch of left coronary artery
FJ2654	BP10872	FMA3895	Circumflex branch of left coronary artery
FJ2655	BP13236	FMA4706	Coronary sinus
FJ2656	BP13186	FMA4707	Great cardiac vein
FJ2667	BP10890	FMA3818	Marginal branch of right coronary artery
FJ2668	BP10890	FMA3818	Marginal branch of right coronary artery
FJ2670	BP10963	FMA3807	Right conus artery
FJ2671	BP12925	FMA3815	First anterior ventricular branch of right coronary artery
FJ2672	BP10890	FMA3818	Marginal branch of right coronary artery
FJ2673	BP12925	FMA3815	First anterior ventricular branch of right coronary artery
FJ2674	BP10890	FMA3818	Marginal branch of right coronary artery
FJ2675	BP10890	FMA3818	Marginal branch of right coronary artery
FJ2676	BP10963	FMA3807	Right conus artery
FJ2677	BP12925	FMA3815	First anterior ventricular branch of right coronary artery
FJ2678	BP12974	FMA4713	Middle cardiac vein
FJ2679	BP12974	FMA4713	Middle cardiac vein
FJ2680	BP12974	FMA4713	Middle cardiac vein
FJ2681	BP12974	FMA4713	Middle cardiac vein
FJ2682	BP12974	FMA4713	Middle cardiac vein
FJ2683	BP12974	FMA4713	Middle cardiac vein
FJ2684	BP12974	FMA4713	Middle cardiac vein
FJ2685	BP12974	FMA4713	Middle cardiac vein
FJ2686	BP12974	FMA4713	Middle cardiac vein
FJ2687	BP12974	FMA4713	Middle cardiac vein
FJ2688	BP12974	FMA4713	Middle cardiac vein
FJ2689	BP12974	FMA4713	Middle cardiac vein
FJ2690	BP12974	FMA4713	Middle cardiac vein
FJ2691	BP12974	FMA4713	Middle cardiac vein
FJ2692	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2693	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2694	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2695	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2696	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2697	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2698	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2699	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2700	BP10662	FMA3840	Posterior interventricular branch of right coronary artery
FJ2701	BP13881	FMA4712	Posterior vein of left ventricle
FJ2702	BP13881	FMA4712	Posterior vein of left ventricle
FJ2703	BP13113	FMA4708	Left marginal vein
FJ2704	BP13113	FMA4708	Left marginal vein
FJ2705	BP13113	FMA4708	Left marginal vein
FJ2706	BP13881	FMA4712	Posterior vein of left ventricle
FJ2707	BP13881	FMA4712	Posterior vein of left ventricle
FJ2708	BP13881	FMA4712	Posterior vein of left ventricle
FJ2709	BP13881	FMA4712	Posterior vein of left ventricle
FJ2710	BP13881	FMA4712	Posterior vein of left ventricle
FJ2711	BP13881	FMA4712	Posterior vein of left ventricle
FJ2712	BP13881	FMA4712	Posterior vein of left ventricle
FJ2713	BP13881	FMA4712	Posterior vein of left ventricle
FJ2714	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2715	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2716	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2717	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2718	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2719	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2720	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2721	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2722	BP14892	FMA3837	First posterior ventricular branch of right coronary artery
FJ2723	BP13024	FMA3802	Trunk of right coronary artery
FJ2724	BP13146	FMA4714	Small cardiac vein
FJ2727	BP10900	FMA4716	Right marginal vein
FJ2728	BP10900	FMA4716	Right marginal vein
FJ2729	BP10900	FMA4716	Right marginal vein
FJ2731	BP13146	FMA4714	Small cardiac vein
FJ2737	BP13195	FMA3855	Trunk of left coronary artery
FJ3406	BP11155	FMA14816	Anterior cecal artery
FJ3410	BP11172	FMA14818	Appendicular artery
FJ3414	BP13279	FMA14820	Ascending branch of inferior branch of ileocolic artery
FJ3421	BP11176	FMA14812	Celiac trunk
FJ3432	BP13303	FMA76574	Trunk of gastroduodenal artery
FJ3437	BP13305	FMA14809	Ileal artery
FJ3439	BP11154	FMA14815	Ileocolic artery
FJ3442	BP11833	FMA14750	Inferior mesenteric artery
FJ3494	BP11158	FMA14826	Left colic artery
FJ3499	BP12042	FMA14768	Left gastric artery
FJ3514	BP11144	FMA14747	Left inferior phrenic artery
FJ3515	BP11144	FMA14747	Left inferior phrenic artery
FJ3516	BP11144	FMA14747	Left inferior phrenic artery
FJ3517	BP11144	FMA14747	Left inferior phrenic artery
FJ3518	BP11144	FMA14747	Left inferior phrenic artery
FJ3519	BP11144	FMA14747	Left inferior phrenic artery
FJ3520	BP11144	FMA14747	Left inferior phrenic artery
FJ3534	BP11512	FMA14831	Marginal artery of colon
FJ3542	BP13288	FMA14810	Middle colic artery
FJ3553	BP11152	FMA14817	Posterior cecal artery
FJ3590	BP11399	FMA14811	Right colic artery
FJ3594	BP13295	FMA14776	Right gastric artery
FJ3604	BP11494	FMA20688	Right inferior epigastric artery
FJ3614	BP13280	FMA20735	Right superficial epigastric artery
FJ3619	BP11151	FMA14746	Right inferior phrenic artery
FJ3620	BP11151	FMA14746	Right inferior phrenic artery
FJ3621	BP11151	FMA14746	Right inferior phrenic artery
FJ3622	BP11151	FMA14746	Right inferior phrenic artery
FJ3623	BP11151	FMA14746	Right inferior phrenic artery
FJ3624	BP11151	FMA14746	Right inferior phrenic artery
FJ3625	BP11151	FMA14746	Right inferior phrenic artery
FJ3626	BP11151	FMA14746	Right inferior phrenic artery
FJ3638	BP11164	FMA14830	Sigmoid artery
FJ3644	BP13304	FMA66358	Trunk of superior mesenteric artery
FJ3656	BP13275	FMA14832	Superior rectal artery
FJ3411	BP13287	FMA3768	Arch of aorta
FJ3413	BP11169	FMA3736	Ascending aorta
FJ3417	BP12026	FMA3932	Brachiocephalic artery
FJ3427	BP13276	FMA3784	Descending aorta
FJ3479	BP12922	FMA4694	Left subclavian artery
FJ3483	BP12970	FMA4058	Left common carotid artery
FJ3564	BP10742	FMA3941	Right common carotid artery
FJ3579	BP10690	FMA3953	Right subclavian artery
FJ3416	BP13292	FMA4838	Azygos vein
FJ3434	BP12041	FMA4944	Hemiazygos vein
FJ3441	BP11163	FMA10951	Inferior vena cava
FJ3482	BP11150	FMA4761	Left brachiocephalic vein
FJ3583	BP11171	FMA4751	Right brachiocephalic vein
FJ3585	BP11170	FMA4754	Right internal jugular vein
FJ3587	BP12040	FMA4755	Right subclavian vein
FJ3645	BP13278	FMA4720	Superior vena cava
FJ3659	BP11163	FMA10951	Inferior vena cava
FJ3464	BP11149	FMA14766	Left common iliac artery
FJ3466	BP11148	FMA18807	Left external iliac artery
FJ3468	BP11168	FMA18810	Left internal iliac artery
FJ3511	BP13291	FMA20689	Left inferior epigastric artery
FJ3529	BP11146	FMA20736	Left superficial epigastric artery
FJ3532	BP13311	FMA14760	Left testicular artery
FJ3565	BP11159	FMA14765	Right common iliac artery
FJ3567	BP11161	FMA18806	Right external iliac artery
FJ3569	BP11165	FMA18809	Right internal iliac artery
FJ3617	BP11175	FMA14759	Right testicular artery
FJ3465	BP13289	FMA21388	Left common iliac vein
FJ3469	BP11162	FMA18888	Left internal iliac vein
FJ3470	BP11162	FMA18888	Left internal iliac vein
FJ3471	BP11162	FMA18888	Left internal iliac vein
FJ3484	BP13284	FMA18886	Left external iliac vein
FJ3522	BP13284	FMA18886	Left external iliac vein
FJ3523	BP13284	FMA18886	Left external iliac vein
FJ3524	BP13284	FMA18886	Left external iliac vein
FJ3533	BP13294	FMA14345	Left testicular vein
FJ3566	BP11472	FMA21387	Right common iliac vein
FJ3568	BP11156	FMA18885	Right external iliac vein
FJ3570	BP11167	FMA18887	Right internal iliac vein
FJ3571	BP11167	FMA18887	Right internal iliac vein
FJ3572	BP11167	FMA18887	Right internal iliac vein
FJ3607	BP11167	FMA18887	Right internal iliac vein
FJ3608	BP11167	FMA18887	Right internal iliac vein
FJ3609	BP11167	FMA18887	Right internal iliac vein
FJ3618	BP13306	FMA14341	Right testicular vein
FJ3420	BP13073	FMA14773	Splenic artery
FJ3446	BP13309	FMA14805	Inferior pancreaticoduodenal artery
FJ3544	BP13073	FMA14773	Splenic artery
FJ3640	BP13073	FMA14773	Splenic artery
FJ3447	BP11174	FMA68068	Inferior phrenic vein
FJ3448	BP11174	FMA68068	Inferior phrenic vein
FJ3449	BP11174	FMA68068	Inferior phrenic vein
FJ3450	BP11174	FMA68068	Inferior phrenic vein
FJ3451	BP11174	FMA68068	Inferior phrenic vein
FJ3452	BP11174	FMA68068	Inferior phrenic vein
FJ3648	BP13296	FMA78121	Superior phrenic vein
FJ3649	BP13296	FMA78121	Superior phrenic vein
FJ3650	BP13296	FMA78121	Superior phrenic vein
FJ3651	BP13296	FMA78121	Superior phrenic vein
FJ3652	BP13296	FMA78121	Superior phrenic vein
FJ3653	BP13296	FMA78121	Superior phrenic vein
FJ3654	BP13296	FMA78121	Superior phrenic vein
FJ3467	BP13285	FMA69266	Left inferior suprarenal artery
FJ3472	BP13307	FMA14756	Left middle suprarenal artery
FJ3476	BP11177	FMA66364	Trunk of left renal artery
FJ3481	BP13310	FMA70493	Ureteric segment of left renal artery
FJ3576	BP11179	FMA66363	Trunk of right renal artery
FJ3581	BP13293	FMA70492	Ureteric segment of right renal artery
FJ3582	BP13293	FMA70492	Ureteric segment of right renal artery
FJ3584	BP11343	FMA69265	Right inferior suprarenal artery
FJ3586	BP13308	FMA14755	Right middle suprarenal artery
FJ3480	BP11178	FMA14349	Left suprarenal vein
FJ3580	BP11371	FMA14343	Right suprarenal vein
FJ2881	BP12967	FMA8647	Left posterior basal segmental artery
FJ2882	BP10806	FMA8646	Left lateral basal segmental artery
FJ2883	BP13109	FMA8645	Left anterior basal segmental artery
FJ2884	BP10815	FMA8644	Left medial basal segmental artery
FJ2885	BP10815	FMA8644	Left medial basal segmental artery
FJ2886	BP13109	FMA8645	Left anterior basal segmental artery
FJ2887	BP13109	FMA8645	Left anterior basal segmental artery
FJ2888	BP10667	FMA8642	Left superior segmental artery
FJ2889	BP10667	FMA8642	Left superior segmental artery
FJ2890	BP10667	FMA8642	Left superior segmental artery
FJ2891	BP10667	FMA8642	Left superior segmental artery
FJ2892	BP12967	FMA8647	Left posterior basal segmental artery
FJ2893	BP10667	FMA8642	Left superior segmental artery
FJ2894	BP10667	FMA8642	Left superior segmental artery
FJ2895	BP10667	FMA8642	Left superior segmental artery
FJ2896	BP11065	FMA8640	Inferior lingular artery
FJ2897	BP11065	FMA8640	Inferior lingular artery
FJ2898	BP13800	FMA8639	Superior lingular artery
FJ2899	BP13800	FMA8639	Superior lingular artery
FJ2900	BP13800	FMA8639	Superior lingular artery
FJ2901	BP13800	FMA8639	Superior lingular artery
FJ2902	BP13008	FMA13279	Left anterior segmental artery
FJ2903	BP12967	FMA8647	Left posterior basal segmental artery
FJ2904	BP13008	FMA13279	Left anterior segmental artery
FJ2905	BP13008	FMA13279	Left anterior segmental artery
FJ2906	BP13008	FMA13279	Left anterior segmental artery
FJ2907	BP13008	FMA13279	Left anterior segmental artery
FJ2908	BP13008	FMA13279	Left anterior segmental artery
FJ2909	BP13008	FMA13279	Left anterior segmental artery
FJ2910	BP13008	FMA13279	Left anterior segmental artery
FJ2911	BP13076	FMA8635	Left posterior segmental artery
FJ2912	BP13076	FMA8635	Left posterior segmental artery
FJ2913	BP13076	FMA8635	Left posterior segmental artery
FJ2914	BP12967	FMA8647	Left posterior basal segmental artery
FJ2915	BP13019	FMA8634	Left apical segmental artery
FJ2916	BP13019	FMA8634	Left apical segmental artery
FJ2917	BP13019	FMA8634	Left apical segmental artery
FJ2918	BP13019	FMA8634	Left apical segmental artery
FJ2919	BP12967	FMA8647	Left posterior basal segmental artery
FJ2920	BP12967	FMA8647	Left posterior basal segmental artery
FJ2921	BP10806	FMA8646	Left lateral basal segmental artery
FJ2922	BP10806	FMA8646	Left lateral basal segmental artery
FJ2923	BP10806	FMA8646	Left lateral basal segmental artery
FJ2924	BP10670	FMA50873	Left pulmonary artery
FJ2925	BP10736	FMA49916	Left superior pulmonary vein
FJ2926	BP10781	FMA9438	Left posterior segmental vein
FJ2927	BP10781	FMA9438	Left posterior segmental vein
FJ2928	BP10781	FMA9438	Left posterior segmental vein
FJ2929	BP10781	FMA9438	Left posterior segmental vein
FJ2930	BP10786	FMA8667	Left anterior segmental vein
FJ2931	BP10786	FMA8667	Left anterior segmental vein
FJ2932	BP10786	FMA8667	Left anterior segmental vein
FJ2933	BP10736	FMA49916	Left superior pulmonary vein
FJ2934	BP12960	FMA8669	Inferior lingular vein
FJ2935	BP12960	FMA8669	Inferior lingular vein
FJ2936	BP10825	FMA9437	Left apical segmental vein
FJ2937	BP13997	FMA8668	Superior lingular vein
FJ2938	BP13997	FMA8668	Superior lingular vein
FJ2939	BP10781	FMA9438	Left posterior segmental vein
FJ2940	BP10781	FMA9438	Left posterior segmental vein
FJ2941	BP10781	FMA9438	Left posterior segmental vein
FJ2942	BP10781	FMA9438	Left posterior segmental vein
FJ2943	BP10781	FMA9438	Left posterior segmental vein
FJ2944	BP13046	FMA49913	Left inferior pulmonary vein
FJ2945	BP13150	FMA9451	Left posterior basal segmental vein
FJ2946	BP13150	FMA9451	Left posterior basal segmental vein
FJ2947	BP10825	FMA9437	Left apical segmental vein
FJ2948	BP13150	FMA9451	Left posterior basal segmental vein
FJ2949	BP13150	FMA9451	Left posterior basal segmental vein
FJ2950	BP13046	FMA49913	Left inferior pulmonary vein
FJ2951	BP10868	FMA9450	Left lateral basal segmental vein
FJ2952	BP10868	FMA9450	Left lateral basal segmental vein
FJ2953	BP10868	FMA9450	Left lateral basal segmental vein
FJ2954	BP10868	FMA9450	Left lateral basal segmental vein
FJ2955	BP13046	FMA49913	Left inferior pulmonary vein
FJ2956	BP13135	FMA8678	Left anterior basal segmental vein
FJ2957	BP13135	FMA8678	Left anterior basal segmental vein
FJ2958	BP10825	FMA9437	Left apical segmental vein
FJ2959	BP13135	FMA8678	Left anterior basal segmental vein
FJ2960	BP13135	FMA8678	Left anterior basal segmental vein
FJ2961	BP10825	FMA9437	Left apical segmental vein
FJ2962	BP10825	FMA9437	Left apical segmental vein
FJ2963	BP10825	FMA9437	Left apical segmental vein
FJ2964	BP10825	FMA9437	Left apical segmental vein
FJ2965	BP10781	FMA9438	Left posterior segmental vein
FJ2966	BP11394	FMA8612	Pulmonary trunk
FJ2967	BP14147	FMA68662	Apical part of right apical segmental artery
FJ2968	BP12978	FMA68670	Apical part of right posterior segmental artery
FJ2969	BP12978	FMA68670	Apical part of right posterior segmental artery
FJ2970	BP10676	FMA68673	Posterior part of right posterior segmental artery
FJ2971	BP10676	FMA68673	Posterior part of right posterior segmental artery
FJ2972	BP10676	FMA68673	Posterior part of right posterior segmental artery
FJ2973	BP10678	FMA68197	Right upper lobar artery
FJ2974	BP13093	FMA68677	Posterior branch of right anterior segmental artery
FJ2975	BP10871	FMA68683	Anterior branch of right anterior segmental artery
FJ2976	BP10871	FMA68683	Anterior branch of right anterior segmental artery
FJ2977	BP10871	FMA68683	Anterior branch of right anterior segmental artery
FJ2978	BP13021	FMA68665	Anterior part of right apical segmental artery
FJ2979	BP10871	FMA68683	Anterior branch of right anterior segmental artery
FJ2980	BP13093	FMA68677	Posterior branch of right anterior segmental artery
FJ2981	BP13093	FMA68677	Posterior branch of right anterior segmental artery
FJ2982	BP14230	FMA68691	Anterior branch of lateral segmental artery
FJ2983	BP10821	FMA68690	Posterior branch of lateral segmental artery
FJ2984	BP10821	FMA68690	Posterior branch of lateral segmental artery
FJ2985	BP14230	FMA68691	Anterior branch of lateral segmental artery
FJ2986	BP10860	FMA68693	Superior branch of medial segmental artery
FJ2987	BP12979	FMA68694	Inferior branch of medial segmental artery
FJ2988	BP12979	FMA68694	Inferior branch of medial segmental artery
FJ2989	BP13021	FMA68665	Anterior part of right apical segmental artery
FJ2990	BP10860	FMA68693	Superior branch of medial segmental artery
FJ2991	BP10785	FMA68712	Lateral branch of right superior segmental artery
FJ2992	BP10785	FMA68712	Lateral branch of right superior segmental artery
FJ2993	BP10785	FMA68712	Lateral branch of right superior segmental artery
FJ2994	BP10888	FMA68706	Medial branch of right superior segmental artery
FJ2995	BP10888	FMA68706	Medial branch of right superior segmental artery
FJ2996	BP10888	FMA68706	Medial branch of right superior segmental artery
FJ2997	BP13061	FMA68709	Superior branch of right superior segmental artery
FJ2998	BP13061	FMA68709	Superior branch of right superior segmental artery
FJ2999	BP13061	FMA68709	Superior branch of right superior segmental artery
FJ3000	BP13021	FMA68665	Anterior part of right apical segmental artery
FJ3001	BP10977	FMA68725	Lateral branch of right anterior basal segmental artery
FJ3002	BP10887	FMA68723	Basal branch of right anterior basal segmental artery
FJ3003	BP10887	FMA68723	Basal branch of right anterior basal segmental artery
FJ3004	BP10802	FMA68728	Lateral branch of right lateral basal segmental artery
